BatteryId,Policy,NObs,RMSE,MAE,Bias,MaxAbsError
1,3_6C-80PER_3_6C,200,0.007417456518917548,0.007272752763128279,-0.0072622549575654125,0.008687344489066051
2,3_6C-80PER_3_6C,150,0.004458716634654196,0.004366518439022977,0.004366518439022977,0.00855736042477151
3,3_6C-80PER_3_6C,200,0.003019452896374023,0.002776069007407763,0.002740084777008245,0.00693728132303062
4,80PER_3_6C,200,0.014445647810244586,0.01217218528590097,0.01207209280591004,0.02610676453391836
5,80PER_3_6C,150,0.005362053455095499,0.004686172141438488,-0.00437265408598403,0.009737103645867884
6,80PER_3_6C,200,0.007268113979287499,0.006195927007997434,-0.006052610032734398,0.013601478419448365
7,4_8C_80PER_4_8C,200,0.004298777967411495,0.0032584587277309524,-0.002963070207563572,0.00979943076830525
8,4_8C_80PER_4_8C,200,0.0017953309568701124,0.0014502017065085916,0.0010975302397065755,0.005733838343344511
9,4_8C_80PER_4_8C,150,0.0018455289511026284,0.001466957036479899,0.0010667475843838892,0.006599990612288997
10,5C_67PER_4C_NEWSTRUCTURE,150,0.0006004823427795831,0.00040962994182059656,0.0003108975459837719,0.003669304091639347
11,5_3C_54PER_4C_NEWSTRUCTURE,150,0.0006174112284821817,0.0005125383704324945,0.00022130467039813324,0.003212257988399858
12,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0004081456738683328,0.00031857263543319915,9.282862286347393e-05,0.0024314340857489736
13,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0004074540089216398,0.0003083254646296496,-9.938281672464244e-05,0.0023339603392648067
14,5_6C_19PER_4_6C_NEWSTRUCTURE,150,0.0007101480341686218,0.0006092970139697829,-0.00047476367481092665,0.0027417924812850325
15,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0006917077812633533,0.0005812571485852763,0.0004008583131851645,0.0030664485638961514
16,3_7C_31PER_5_9C_NEWSTRUCTURE,150,0.0021351823318215887,0.0020079408392168095,0.0020079408392168095,0.003313749936667554
17,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.009402240224329018,0.009374549090566096,-0.009374549090566096,0.010953725112914148
18,5C_67PER_4C_NEWSTRUCTURE,200,0.000566888781581237,0.00042223894367906855,0.00019485820835967837,0.003877758688452526
19,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0012778508136654548,0.001110626039809296,-0.0009999667314180539,0.0036592828030941327
20,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.008931466821454861,0.00891723533356218,-0.00891723533356218,0.009662526627831514
21,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0006790904132705178,0.000583740770279223,0.0003677049570151891,0.002608751977638102
22,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0010461024204205692,0.0008622513183634655,-0.0007805729483074991,0.002777570869487711
23,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0007558969240888474,0.0005902433258527489,0.0003487715326330215,0.004542111400397064
24,5_6C_36PER_4_3C_NEWSTRUCTURE,150,0.0008393879770159627,0.0006221372494789105,-0.0003081587925466763,0.005064379932556817
25,4_8C_80PER_4_8C_NEWSTRUCTURE,150,0.008745729589928867,0.008726283454491347,-0.008726283454491347,0.00965619060898093
26,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0014574605098058207,0.0011885329287322866,0.0011293310952273795,0.009579796986194045
27,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0008067986406126524,0.0007154385008942122,0.0005964713504992525,0.0019381344566964387
28,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0011247941471368465,0.0010125898990012915,0.0008329753190786982,0.002232663295252846
29,5C_67PER_4C_NEWSTRUCTURE,200,0.0004367283763633417,0.0003221074343385283,8.525293566797931e-05,0.0031623832735940827
30,3_7C_31PER_5_9C_NEWSTRUCTURE,200,0.005712982890443226,0.004774426116078914,-0.004711429236617115,0.011395903715365252
31,5C_67PER_4C_NEWSTRUCTURE,200,0.0006378496359511962,0.0003801829097616033,-0.0001395262653584778,0.004954443901989736
32,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0007888191368227763,0.0006808675190583124,-0.0004943291246646708,0.0041296449454429895
33,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.000951604583680296,0.0008236228165497112,-0.0006593964145488879,0.003992667692183538
34,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0005651930898006229,0.00037399878059143855,7.908495228127477e-05,0.004211727410592836
35,3_7C_31PER_5_9C_NEWSTRUCTURE,200,0.003326360239609355,0.0024953014475348535,0.002322435494714128,0.0069809986562038295
36,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0005418193095668876,0.0004307927953892782,-0.0003333405888822211,0.0035383603255072504
37,5C_67PER_4C_NEWSTRUCTURE,200,0.000682861929773466,0.0006069279981299852,0.00039616370293632796,0.002351157201581966
38,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0011733599623277003,0.0010345955062535262,0.0007789608115729529,0.0027145427130527144
39,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0003672327878866589,0.0002807376400148409,-6.264349931660251e-05,0.0020153456238501954
40,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0013360459469095509,0.00115806019188668,0.001046043460001817,0.0023002224464558907
41,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.045706154918221525,0.04568669708888453,0.04568669708888453,0.05271771897597177
42,5C_67PER_4C_NEWSTRUCTURE,200,0.0005033607592945813,0.00035753492480852523,-0.00021967301292265818,0.0023276625911989868
43,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0007433854541596393,0.0006229873620012399,0.0003531345146050785,0.0038457200933593727
44,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0006138782268845447,0.0003214384605185139,4.204062087159732e-06,0.004811690526489887
45,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0013251013680879603,0.0011688381284777915,-0.0009623552165453564,0.004792821455868457
46,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.009506743704965667,0.00949577461742003,-0.00949577461742003,0.010396420185408206
47,5C_67PER_4C_NEWSTRUCTURE,200,0.0008800868891694967,0.0007678874897509452,-0.0006759031498853523,0.0030322276619552113
48,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0011339571748931554,0.0009884119944971847,-0.0008365849941990422,0.003944112037495673
49,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.009351013445521644,0.00933714102785448,-0.00933714102785448,0.010332036814224899
