Family,FrozenCandidate,Origin,StrategyEqualRMSE,MeanBatteryRMSE,WorstBatteryRMSE,MeanBatteryMAE,MeanBias,NonDecreasingCount
exponential,exponential_w60_s0.001,100,0.0007486099088473123,0.0004066816589927984,0.0018786984213588315,0.0003263699950083325,0.00020550777884843478,0
exponential,exponential_w60_s0.001,125,0.0008520841424911836,0.00045509085100888853,0.0022638316156953974,0.00036476389744790293,0.0002695939293221999,0
exponential,exponential_w60_s0.001,150,0.0008279760499127739,0.0003969202314469884,0.002445211228533701,0.00032065816889462174,0.00018861586402264227,0
linear,linear_w40_s1,100,0.0007977212927935538,0.0003726746357873864,0.0026088519270256877,0.000301064153855546,0.00017441511461234056,0
linear,linear_w40_s1,125,0.0008189698315554453,0.0004561181904696288,0.002327636901820062,0.0003679316597046716,0.000294656245459969,1
linear,linear_w40_s1,150,0.0007062176485190712,0.0003161761092029043,0.0022713225251090163,0.0002492058012435633,7.471434833419377e-05,0
power,power_w60_s1.25,100,0.0006939581744602964,0.00038204802166754874,0.0016088450662989065,0.0003040908384324136,0.00010073289438999029,0
power,power_w60_s1.25,125,0.0008508011860562266,0.0004428949552384469,0.002236046450067583,0.00035515141318587674,0.00019770185313733456,0
power,power_w60_s1.25,150,0.000831089730863404,0.00038740378360553075,0.0024187372923747228,0.00031462703216664077,0.00013298979454427052,0
