Policy,ModelFamilyMedianT80Min,ModelFamilyMedianT80Max,ModelFamilyMedianT80Ratio
3_6C-80PER_3_6C,2377.0964263633864,8537.553011073102,3.59158884611775
3_7C_31PER_5_9C_NEWSTRUCTURE,762.2826992989162,1000.7654261087615,1.3128533902568977
4_8C_80PER_4_8C,1085.3099896268586,1595.102382952142,1.4697205390144392
4_8C_80PER_4_8C_NEWSTRUCTURE,2522.330846336081,7362.153531974398,2.91878979423679
5C_67PER_4C_NEWSTRUCTURE,2203.732230864568,6433.99321775483,2.919589380072118
5_3C_54PER_4C_NEWSTRUCTURE,2201.21538232066,6159.23412000127,2.7981060687972374
5_6C_19PER_4_6C_NEWSTRUCTURE,2107.2062293523886,5614.816847788112,2.6645787059550043
5_6C_36PER_4_3C_NEWSTRUCTURE,2140.903879080066,5654.2543316315705,2.6410594080763548
80PER_3_6C,1906.4774538872516,4672.6919870892625,2.4509558072988384
