replicate,Policy,TimeMean,T80Median,ParetoTimeMaxT80,seed
0,3_6C-80PER_3_6C,13.4086513554808,4153.609409904077,False,20260816
0,3_7C_31PER_5_9C_NEWSTRUCTURE,10.851867338010951,1132.9769120844642,False,20260816
0,4_8C_80PER_4_8C,13.08203536558995,2282.015928826523,False,20260816
0,4_8C_80PER_4_8C_NEWSTRUCTURE,11.13814962353796,7332.741588482192,False,20260816
0,5C_67PER_4C_NEWSTRUCTURE,10.162817161917033,6350.4531030301405,True,20260816
0,5_3C_54PER_4C_NEWSTRUCTURE,10.161925543456572,5961.4226583593,True,20260816
0,5_6C_19PER_4_6C_NEWSTRUCTURE,10.228325519381473,6016.051525472321,False,20260816
0,5_6C_36PER_4_3C_NEWSTRUCTURE,10.232748710930688,7579.530231229612,True,20260816
0,80PER_3_6C,14.828321327044,5992.924050544601,False,20260816
1,3_6C-80PER_3_6C,13.38800241952045,7437.602366206827,False,20260816
1,3_7C_31PER_5_9C_NEWSTRUCTURE,10.8033723951577,1351.4832810114071,False,20260816
1,4_8C_80PER_4_8C,13.2409229226557,1577.1874352634584,False,20260816
1,4_8C_80PER_4_8C_NEWSTRUCTURE,11.172431417244,8758.490009375333,True,20260816
1,5C_67PER_4C_NEWSTRUCTURE,10.160814639693184,7363.684153998176,True,20260816
1,5_3C_54PER_4C_NEWSTRUCTURE,10.15082411226123,5961.4226583593,True,20260816
1,5_6C_19PER_4_6C_NEWSTRUCTURE,10.263012588530414,5129.503375032457,False,20260816
1,5_6C_36PER_4_3C_NEWSTRUCTURE,10.223000516789785,5917.417162504574,False,20260816
1,80PER_3_6C,13.7314586052367,1081.550265756956,False,20260816
2,3_6C-80PER_3_6C,13.3673534835601,10721.595322509576,True,20260816
2,3_7C_31PER_5_9C_NEWSTRUCTURE,10.851867338010951,1132.9769120844642,False,20260816
2,4_8C_80PER_4_8C,13.2409229226557,1577.1874352634584,False,20260816
2,4_8C_80PER_4_8C_NEWSTRUCTURE,11.1596988709702,7332.741588482192,True,20260816
2,5C_67PER_4C_NEWSTRUCTURE,10.170790342293866,6266.912988305452,True,20260816
2,5_3C_54PER_4C_NEWSTRUCTURE,10.142495626507841,5961.4226583593,True,20260816
2,5_6C_19PER_4_6C_NEWSTRUCTURE,10.252613120705115,5951.352492369283,False,20260816
2,5_6C_36PER_4_3C_NEWSTRUCTURE,10.220678648028585,5391.091500758567,False,20260816
2,80PER_3_6C,14.279889966140349,3537.2371581507787,False,20260816
3,3_6C-80PER_3_6C,13.3673534835601,10721.595322509576,True,20260816
3,3_7C_31PER_5_9C_NEWSTRUCTURE,10.851867338010951,1132.9769120844642,False,20260816
3,4_8C_80PER_4_8C,12.9231478085242,2986.844422389588,False,20260816
3,4_8C_80PER_4_8C_NEWSTRUCTURE,11.18277495172876,8758.490009375333,False,20260816
3,5C_67PER_4C_NEWSTRUCTURE,10.151609089330767,8293.375090241521,True,20260816
3,5_3C_54PER_4C_NEWSTRUCTURE,10.165354552145757,8872.33830493918,True,20260816
3,5_6C_19PER_4_6C_NEWSTRUCTURE,10.232494304568055,5278.2812032069405,False,20260816
3,5_6C_36PER_4_3C_NEWSTRUCTURE,10.22504087099723,7579.530231229612,False,20260816
3,80PER_3_6C,14.279889966140349,3537.2371581507787,False,20260816
4,3_6C-80PER_3_6C,13.4086513554808,4153.609409904077,False,20260816
4,3_7C_31PER_5_9C_NEWSTRUCTURE,10.9003622808642,914.4705431575212,False,20260816
4,4_8C_80PER_4_8C,13.08203536558995,2282.015928826523,False,20260816
4,4_8C_80PER_4_8C_NEWSTRUCTURE,11.156053937054141,8758.490009375333,True,20260816
4,5C_67PER_4C_NEWSTRUCTURE,10.145841432526566,5875.082716516778,True,20260816
4,5_3C_54PER_4C_NEWSTRUCTURE,10.170254029209955,5961.4226583593,True,20260816
4,5_6C_19PER_4_6C_NEWSTRUCTURE,10.26188101731987,5129.503375032457,False,20260816
4,5_6C_36PER_4_3C_NEWSTRUCTURE,10.205088200515473,5391.091500758567,False,20260816
4,80PER_3_6C,14.279889966140349,3537.2371581507787,False,20260816
5,3_6C-80PER_3_6C,13.38800241952045,7437.602366206827,True,20260816
5,3_7C_31PER_5_9C_NEWSTRUCTURE,10.851867338010951,1132.9769120844642,False,20260816
5,4_8C_80PER_4_8C,13.08203536558995,2282.015928826523,False,20260816
5,4_8C_80PER_4_8C_NEWSTRUCTURE,11.16563405487574,7332.741588482192,True,20260816
5,5C_67PER_4C_NEWSTRUCTURE,10.170144325626334,6350.4531030301405,False,20260816
5,5_3C_54PER_4C_NEWSTRUCTURE,10.16290702176737,6357.04558164324,True,20260816
5,5_6C_19PER_4_6C_NEWSTRUCTURE,10.226249757387516,5951.352492369283,False,20260816
5,5_6C_36PER_4_3C_NEWSTRUCTURE,10.203327441696059,4931.583407578173,False,20260816
5,80PER_3_6C,14.279889966140349,3537.2371581507787,False,20260816
6,3_6C-80PER_3_6C,13.4086513554808,4153.609409904077,False,20260816
6,3_7C_31PER_5_9C_NEWSTRUCTURE,10.8033723951577,1351.4832810114071,False,20260816
6,4_8C_80PER_4_8C,13.08203536558995,2282.015928826523,False,20260816
6,4_8C_80PER_4_8C_NEWSTRUCTURE,11.15564105023264,8758.490009375333,True,20260816
6,5C_67PER_4C_NEWSTRUCTURE,10.168328353965917,6266.912988305452,True,20260816
6,5_3C_54PER_4C_NEWSTRUCTURE,10.144616426600715,5878.466397957938,True,20260816
6,5_6C_19PER_4_6C_NEWSTRUCTURE,10.265217737290127,5129.503375032457,False,20260816
