OuterBatteryId,Policy,Family,SelectedCandidate,RMSE,MAE,Bias
1,3_6C-80PER_3_6C,exponential,exponential_w60_s0.001,0.002445211228533701,0.0016284416941006064,0.0009805341417146597
1,3_6C-80PER_3_6C,linear,linear_w40_s1,0.0022713225251090163,0.0015871227811257982,0.0005335440769000166
1,3_6C-80PER_3_6C,power,power_w60_s1.25,0.0024187372923747228,0.00161836020236515,0.0009279203166551686
3,3_6C-80PER_3_6C,exponential,exponential_w60_s0.001,0.00013397219240865097,0.00011423022782522941,5.1832842341481554e-05
3,3_6C-80PER_3_6C,linear,linear_w40_s1,0.00020676986213184677,0.00018239129480278172,0.0001710632001980472
3,3_6C-80PER_3_6C,power,power_w60_s1.25,0.00013104105353343575,0.00010944410508993307,2.6168730338502756e-05
4,80PER_3_6C,exponential,exponential_w60_s0.0025,0.0012630691726533178,0.0011736801056444924,-0.0009129954189727485
4,80PER_3_6C,linear,linear_w40_s1,0.0009390323931549998,0.0007081014595745506,-0.000313442566208908
4,80PER_3_6C,power,power_w60_s1.25,0.0011136297704801474,0.0009972495232709643,-0.0007075205176146149
6,80PER_3_6C,exponential,exponential_w60_s0.001,0.0005786675949640056,0.0004645092972417686,0.00042281972519294
6,80PER_3_6C,linear,linear_w40_s1,0.0006169288091972422,0.0004957112965089605,0.00046153214592290935
6,80PER_3_6C,power,power_w60_s1.25,0.0005402587496249569,0.00043284559949526626,0.00038039729175286306
7,4_8C_80PER_4_8C,exponential,exponential_w60_s0.001,0.0013991222791015355,0.0012626873297289887,0.0012626873297289887
7,4_8C_80PER_4_8C,linear,linear_w40_s1,0.0010741413410089889,0.0009450805172423026,0.0009450805172423026
7,4_8C_80PER_4_8C,power,power_w60_s1.25,0.001315837442133357,0.001187158595933895,0.001187158595933895
8,4_8C_80PER_4_8C,exponential,exponential_w60_s0.001,0.0012582851814836153,0.0011173142642782507,0.0011173142642782507
8,4_8C_80PER_4_8C,linear,linear_w40_s1,0.0008756907320675532,0.0007293188520642357,0.0007293188520642357
8,4_8C_80PER_4_8C,power,power_w60_s1.25,0.0010896841710229528,0.000964488529686598,0.000964488529686598
12,5_6C_19PER_4_6C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.0003531008621118046,0.00029819100631324426,0.00020996398263943396
12,5_6C_19PER_4_6C_NEWSTRUCTURE,linear,linear_w40_s1,0.00023407102507251812,0.00019208071231634926,3.1487977763247075e-05
12,5_6C_19PER_4_6C_NEWSTRUCTURE,power,power_w60_s1.25,0.00031860260362807463,0.0002711271530932313,0.00017338404816542586
13,5_6C_36PER_4_3C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.00022473838319615055,0.00019633493973739258,5.2447548271776776e-05
13,5_6C_36PER_4_3C_NEWSTRUCTURE,linear,linear_w40_s1,0.00025205822159902634,0.00021241213467949828,-0.00020532887807670709
13,5_6C_36PER_4_3C_NEWSTRUCTURE,power,power_w60_s1.25,0.00020440760916906142,0.00017390217089523042,1.7343522170847336e-05
15,5_6C_36PER_4_3C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.00036235320961789205,0.0003065463479064157,0.000236772204014688
15,5_6C_36PER_4_3C_NEWSTRUCTURE,linear,linear_w40_s1,0.0002129637737169015,0.0001719079952999114,-0.00012931185955471713
15,5_6C_36PER_4_3C_NEWSTRUCTURE,power,power_w60_s1.25,0.0003147939161690865,0.00026815200628735217,0.00018776295473608818
17,4_8C_80PER_4_8C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.0003588424256991962,0.00021659713595465925,0.0002089579936766617
17,4_8C_80PER_4_8C_NEWSTRUCTURE,linear,linear_w40_s1,0.00031244980020589847,0.00022772414470235037,-0.00010631981848826078
17,4_8C_80PER_4_8C_NEWSTRUCTURE,power,power_w60_s1.25,0.0003488047462468929,0.0002047225320946877,0.00019324591710313756
18,5C_67PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.00024354482463002176,0.00021948497644853183,0.00021948497644853183
18,5C_67PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,0.00011113188507974027,8.756074361839117e-05,4.508023459999899e-05
18,5C_67PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,0.0002054400987412734,0.00017948970401880039,0.00017948970401880039
19,5_3C_54PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.00019841795374999426,0.0001570300683347381,0.00015499492539057026
19,5_3C_54PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,0.00011103524374354828,8.769065919166597e-05,3.13960501951982e-05
19,5_3C_54PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,0.00017918588834219947,0.0001393979043432636,0.0001348168194657018
20,4_8C_80PER_4_8C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.0005164817840873681,0.00039143309052681375,0.00039143309052681375
20,4_8C_80PER_4_8C_NEWSTRUCTURE,linear,linear_w40_s1,0.0003741279977422014,0.00021283413973099963,0.0001875662377399112
20,4_8C_80PER_4_8C_NEWSTRUCTURE,power,power_w60_s1.25,0.0004927311753257417,0.000363032818873501,0.00036297458838603804
21,5_6C_19PER_4_6C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.00020390667181881584,0.0001580707176921381,0.000150334966473884
21,5_6C_19PER_4_6C_NEWSTRUCTURE,linear,linear_w40_s1,0.00012050350974794068,0.00010433073412781546,-3.773986998778955e-05
21,5_6C_19PER_4_6C_NEWSTRUCTURE,power,power_w60_s1.25,0.00015727439762888652,0.00011614138957791065,9.753217793145418e-05
22,5_6C_36PER_4_3C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.0002522442764438441,0.00021173053058561652,0.00021056851511336294
22,5_6C_36PER_4_3C_NEWSTRUCTURE,linear,linear_w40_s1,0.00011047666913993325,9.661798504113861e-05,-1.8715021367814446e-05
22,5_6C_36PER_4_3C_NEWSTRUCTURE,power,power_w60_s1.25,0.0002298094318177506,0.00019040943247185414,0.00018804531023512317
23,5_6C_19PER_4_6C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.0003455444681434776,0.00031277396285385174,0.00031277396285385174
23,5_6C_19PER_4_6C_NEWSTRUCTURE,linear,linear_w40_s1,0.00024678416948694694,0.00020768247856199905,0.00020768247856199905
23,5_6C_19PER_4_6C_NEWSTRUCTURE,power,power_w60_s1.25,0.0002930583110141314,0.0002615888386847898,0.0002615888386847898
26,5_3C_54PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.00010697183794824785,9.013177178369913e-05,-1.879107682978942e-05
