parameter,value
command,python scripts/q2/run_q2_merged_robustness.py --permutations 20000 --seed 20260814
seed,20260814
permutations,20000
wall_seconds,2.023548
python,3.12.3
platform,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39
numpy,2.5.2
pandas,3.0.5
