Model,MeanBatteryRMSE,SEBatteryRMSE,MeanBatteryMAE,MedianBatteryRMSE,WorstPolicyRMSE,MaxBatteryError,InvalidTrendFractionAfter20,LambdaRandom,LambdaCurve,Selected
polynomial_mixed,0.0036204052584674867,0.0009972960368436802,0.0033597347476370244,0.0011247941471368465,0.01527389145073693,0.05271771897597177,0.0,0.01,0.0,False
spline_mixed,0.00356247383416245,0.0010006868029738736,0.00331553308723919,0.0010478824257120056,0.015264870055791226,0.052672078595736305,0.0,0.03,0.001,False
functional_ridge,0.003549080538317058,0.0010000419429821838,0.003309123796849246,0.0010531736131420516,0.015270524233669999,0.05270469046790727,0.0,0.0,0.0001,True
