Model,Policy,SOH1,SOH50,SOH100,SOH150,SOH200,Loss1to200,MeanSOH1to200,Slope151to200,ProjectedL80LocalLinear,MeanChargeTime
polynomial_mixed,3_6C-80PER_3_6C,0.9985778521754624,0.9999199104512732,0.9997506340017004,0.9980270912190089,0.9947492821031982,0.0038285700722641147,0.9987151986990475,-6.586703558283042e-05,3156.703309628884,13.382016722426933
polynomial_mixed,80PER_3_6C,0.9988493154511036,0.997136128273906,0.9941858572138267,0.9900213226393382,0.9846425245504401,0.014206790900663457,0.9933487478397922,-0.00010781881448084352,1912.5260135673818,14.0800917726472
polynomial_mixed,4_8C_80PER_4_8C,0.9983483628122474,0.998844453598476,0.9965044767140299,0.9912895584432863,0.9831996987862449,0.015148664026002456,0.9945689534291591,-0.0001623721814180802,1328.2702319219168,13.103095505886401
polynomial_mixed,5C_67PER_4C_NEWSTRUCTURE,0.9991413726405363,0.9993870976911234,0.998799887349123,0.9973662626742559,0.9950862236665218,0.004055148974014489,0.9982310650729134,-4.577006302124978e-05,4462.310575712962,10.158266146895128
polynomial_mixed,5_3C_54PER_4C_NEWSTRUCTURE,0.9990191145100943,0.9991762103394831,0.998552319109238,0.9971363136396311,0.9949281939306619,0.004090920579432389,0.9980192450163359,-4.4320817027250274e-05,4598.118243416224,10.155698951525864
polynomial_mixed,5_6C_19PER_4_6C_NEWSTRUCTURE,0.9994281163013445,0.9991819066228372,0.998180592990605,0.9964216235337181,0.9939049982521765,0.005523118049168052,0.9976666629653048,-5.048403679576196e-05,4040.91706130074,10.248325419493163
polynomial_mixed,5_6C_36PER_4_3C_NEWSTRUCTURE,0.9992977152811522,0.9992489444658031,0.998455634072777,0.9969112688768064,0.9946158488778913,0.004681866403260848,0.9979481744194085,-4.6058610938889334e-05,4425.395532142905,10.218896865903176
polynomial_mixed,3_7C_31PER_5_9C_NEWSTRUCTURE,1.001032391218391,0.9925725552241693,0.9835163516879714,0.9740321503459063,0.9641199511979742,0.036912440020416715,0.9831411283119271,-0.00019832958251981132,1027.5112018731752,10.847335686134734
polynomial_mixed,4_8C_80PER_4_8C_NEWSTRUCTURE,0.9916453337652323,0.9918943260342193,0.9914259988200932,0.990227973668603,0.9883002505797489,0.003345083185483433,0.9909359934498112,-3.870040136455042e-05,5065.589087978606,11.157440477256417
spline_mixed,3_6C-80PER_3_6C,0.9971374485803688,1.000491725214769,0.9994347847533341,0.9979716138169001,0.9952247558263903,0.0019126927539785399,0.9987619138235208,-5.467011550018975e-05,3770.9592716282555,13.382016722426933
spline_mixed,80PER_3_6C,0.9980889125004111,0.9974230496591941,0.9940301062141009,0.9899853222233,0.9848918919762178,0.013197020524193248,0.9933710104125885,-0.00010183188378513509,2015.658172113746,14.0800917726472
spline_mixed,4_8C_80PER_4_8C,0.9969441508274111,0.9994191506409599,0.9962485668893095,0.9911299076789813,0.9839807504677083,0.012963400359702781,0.9946164354142726,-0.0001432335102240524,1484.4811956358337,13.103095505886401
spline_mixed,5C_67PER_4C_NEWSTRUCTURE,0.9980257586824551,0.9997957172217662,0.9986054249009105,0.9972569172050562,0.9954444588198074,0.002581299862647768,0.9982435161527654,-3.6381425019157594e-05,5572.094653161357,10.158266146895128
spline_mixed,5_3C_54PER_4C_NEWSTRUCTURE,0.9978702500694854,0.9995903123201815,0.9983608131567152,0.9970156811844534,0.9953205186693651,0.0025497314001202698,0.9980302194526008,-3.4147635676470795e-05,5919.884109105375,10.155698951525864
spline_mixed,5_6C_19PER_4_6C_NEWSTRUCTURE,0.9983161187551887,0.9995696826726669,0.9979671196306753,0.9963609636865625,0.9941387690276339,0.004177349727554791,0.9976773346289391,-4.4575114973868024e-05,4555.3172917545335,10.248325419493163
spline_mixed,5_6C_36PER_4_3C_NEWSTRUCTURE,0.9981425664119408,0.9996584119023183,0.9982392288037423,0.9968335096602253,0.9948859699432766,0.0032565964686641635,0.99795938697524,-3.904432307388966e-05,5191.403476875843,10.218896865903176
spline_mixed,3_7C_31PER_5_9C_NEWSTRUCTURE,1.0004796403275975,0.9928031847709257,0.9834448319765167,0.9739150310495193,0.9645916145972339,0.03588802573036365,0.9831599627984844,-0.00018659720038917906,1082.0690463412689,10.847335686134734
spline_mixed,4_8C_80PER_4_8C_NEWSTRUCTURE,0.9906134396972629,0.9922969888685235,0.9912221812628889,0.9901435318224135,0.9886076752115359,0.0020057644857269796,0.9909504914088401,-3.075358072941518e-05,6332.868782695487,11.157440477256417
