ConfigId,LambdaRandom,LambdaCurve,MeanBatteryRMSE,MeanBatteryMAE,WorstPolicyRMSE
1,0.0,0.0001,0.0035558555895497798,0.0033141391719797,0.015471151756183549
2,0.0,0.001,0.00356570408548953,0.0033189986560956566,0.015382985127007795
3,0.0,0.01,0.003585534585474081,0.003337517909298193,0.015443913066992563
4,0.0,0.1,0.0036263470890859793,0.0033624117967905854,0.015504281687727847
5,0.0,1.0,0.0036362098333800738,0.003367555338069165,0.015478131864540293
