Policy,NBattery,TimeMean,TimeP025,TimeP975,T80Median,T80P025,T80P975,PointParetoTimeMaxT80,BootstrapParetoFrequency
3_6C-80PER_3_6C,2,13.38800241952045,13.3673534835601,13.4086513554808,7437.602366206827,4153.609409904077,10721.595322509576,True,0.4848
4_8C_80PER_4_8C_NEWSTRUCTURE,5,11.160462287633361,11.12933292237952,11.18964330190812,7332.741588482192,4362.137165664621,10356.4511313131,True,0.6458
5C_67PER_4C_NEWSTRUCTURE,6,10.158737727484366,10.135653963749053,10.179474011559483,6350.4531030301405,5707.2484133137505,8983.699684434087,True,0.8874
5_3C_54PER_4C_NEWSTRUCTURE,7,10.157513242825358,10.139169868270786,10.17688044666242,5961.4226583593,5624.90763368667,8872.33830493918,True,0.7172
5_6C_36PER_4_3C_NEWSTRUCTURE,7,10.214658808573457,10.197736318885758,10.233236186352201,5391.091500758567,4422.404466622696,7579.530231229612,False,0.0902
5_6C_19PER_4_6C_NEWSTRUCTURE,7,10.249731197117585,10.223828856938137,10.27495207795854,5278.2812032069405,4558.4825225534605,6016.051525472321,False,0.0234
80PER_3_6C,2,14.279889966140349,13.7314586052367,14.828321327044,3537.2371581507787,1081.550265756956,5992.924050544601,False,0.0002
4_8C_80PER_4_8C,2,13.08203536558995,12.9231478085242,13.2409229226557,2282.015928826523,1577.1874352634584,2986.844422389588,False,0.0
3_7C_31PER_5_9C_NEWSTRUCTURE,2,10.851867338010951,10.8033723951577,10.9003622808642,1132.9769120844642,914.4705431575212,1351.4832810114071,False,0.0
