model,response,lambda,intercept_standardized,train_rmse_strategy_mean,n_strategy,n_unique_coordinate,feature_1,feature_mean_1,feature_scale_1,coef_standardized_1,coef_original_scale_1
ridge_Jhigh70,relative_loss200,10.0,0.007367643259914218,0.00827050250126861,6,6,J_high_70,0.4600000000000004,0.06506407098647718,0.003896305103060613,0.05988412719933272
ridge_Jhigh70,soh200,0.01,0.9889058722696606,0.002913846732098554,6,6,J_high_70,0.4600000000000004,0.06506407098647718,-0.010103418219056743,-0.15528413863246618
