cohort,model,fold,heldout_coordinate,train_rmse,lag1_residual_correlation,n_train_policy,n_train_battery,quadratic_cycle,lambda_fixed,lambda_battery,lambda_policy
explicit_new_structure,hier_cycle_no_stress,6,5.600|0.360|4.300,0.0009970281917627024,0.8450637854175952,5,27,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_J_linear,1,3.700|0.310|5.900,0.0008750653635794196,0.8130273684861247,5,32,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_J_linear,2,4.800|0.800|4.800,0.000851356991304071,0.8329020004498086,5,29,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_J_linear,3,5.000|0.670|4.000,0.0008819028759629846,0.8129660262784695,5,28,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_J_linear,4,5.300|0.540|4.000,0.0008730043535227867,0.8246388616546219,5,27,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_J_linear,5,5.600|0.190|4.600,0.0008863204889895251,0.81166310565934,5,27,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_J_linear,6,5.600|0.360|4.300,0.0008915322381138246,0.81136532850525,5,27,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_H_linear,1,3.700|0.310|5.900,0.0008744947191916793,0.8127886699618878,5,32,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_H_linear,2,4.800|0.800|4.800,0.0008414041962998455,0.8291589646254242,5,29,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_H_linear,3,5.000|0.670|4.000,0.0008954795458392756,0.8060145048753171,5,28,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_H_linear,4,5.300|0.540|4.000,0.00089141987408064,0.8243355761843632,5,27,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_H_linear,5,5.600|0.190|4.600,0.0009028055767093988,0.8091259277563111,5,27,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_H_linear,6,5.600|0.360|4.300,0.0009054408870731572,0.8124134781373198,5,27,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_J_H_linear,1,3.700|0.310|5.900,0.0008747453555575408,0.8128800360374736,5,32,False,10.0,1.0,10.0
explicit_new_structure,hier_cycle_J_H_linear,2,4.800|0.800|4.800,0.0008563293310182774,0.8407094322834636,5,29,False,10.0,1.0,10.0
