Model,MeanBatteryRMSE,SEBatteryRMSE,MeanBatteryMAE,MedianBatteryRMSE,WorstPolicyRMSE,MaxBatteryError,LambdaRandom,LambdaCurve,Selected
polynomial_mixed,0.004393553595626583,0.0012617867279545022,0.004071231734143161,0.0010800263156763353,0.018335047622549804,0.05271135304532226,10.0,0.0,False
spline_mixed,0.00434190575119364,0.0012654481653146844,0.0040355152551648015,0.0010242700793128283,0.018332365419900794,0.0526503073756428,3.0,0.001,False
functional_ridge,0.004337846061852715,0.0012657103907585464,0.004032851866801317,0.0010218520412579404,0.018332165890421064,0.0526880759771986,0.0,0.0001,True
