ModelA,ModelB,MeanRMSEDifference_AminusB,CI95Low,CI95High
polynomial_mixed,spline_mixed,5.164653351134452e-05,3.7694036617952955e-05,6.671548060058395e-05
polynomial_mixed,functional_ridge,6.867809487558155e-05,4.932978254861715e-05,8.933862841195216e-05
spline_mixed,functional_ridge,1.7031561364237027e-05,1.09223661872666e-05,2.3343555194025624e-05
