SensitivityWindow,BatteryId,Policy,AvailableLastCycle,LifetimePrefixCycle,TailWindow,SOH150,SlopeTail,InterceptTail,EstimatedT80,ExtrapolationMultiple,T80Status
30,1,3_6C-80PER_3_6C,200,150,30,1.00348000147942,-5.3922582790664404e-05,1.0107555781010717,3908.484482637945,26.056563217586298,finite_extrapolation
30,2,3_6C-80PER_3_6C,150,150,30,0.995350591168364,-3.02131603979893e-05,0.9997478426351568,6611.28594307698,44.0752396205132,finite_extrapolation
30,3,3_6C-80PER_3_6C,200,150,30,0.996237593096295,-2.5766600058798982e-05,1.0000062239913694,7762.227982541673,51.748186550277815,finite_extrapolation
30,4,80PER_3_6C,200,150,30,0.977366685512464,-0.0002230501569330448,1.010249456119103,942.6106621490329,6.284071080993553,finite_extrapolation
30,5,80PER_3_6C,150,150,30,0.996049414338924,-5.661301325447446e-05,1.0045289563666926,3612.75517074738,24.085034471649198,finite_extrapolation
30,6,80PER_3_6C,200,150,30,0.996289223474253,-4.082435340792729e-05,1.0022962290095365,4955.283112218368,33.035220748122455,finite_extrapolation
30,7,4_8C_80PER_4_8C,200,150,30,0.994602329866956,-6.765243435509015e-05,1.004975074602431,3029.8255570016863,20.19883704667791,finite_extrapolation
30,8,4_8C_80PER_4_8C,200,150,30,0.989748401481303,-0.00013350833020710822,1.0097539061215575,1571.0922741387844,10.473948494258563,finite_extrapolation
30,9,4_8C_80PER_4_8C,150,150,30,0.988970060126946,-0.00013187892309833503,1.0088232796084495,1583.4469580308992,10.556313053539327,finite_extrapolation
30,10,5C_67PER_4C_NEWSTRUCTURE,150,150,30,0.997333230536718,-3.0002158239706794e-05,1.0015438694276824,6717.645704599549,44.78430469733033,finite_extrapolation
30,11,5_3C_54PER_4C_NEWSTRUCTURE,150,150,30,0.996811104366928,-3.469414881449089e-05,1.0018329692413803,5817.493039549067,38.783286930327115,finite_extrapolation
30,12,5_6C_19PER_4_6C_NEWSTRUCTURE,200,150,30,0.996513777051594,-3.7660476528843615e-05,1.0019088953965567,5361.294226904366,35.741961512695774,finite_extrapolation
30,13,5_6C_36PER_4_3C_NEWSTRUCTURE,200,150,30,0.997075645249115,-4.315734631143695e-05,1.0032247918385364,4708.926966269022,31.39284644179348,finite_extrapolation
30,14,5_6C_19PER_4_6C_NEWSTRUCTURE,150,150,30,0.997617145540867,-2.6041333826032647e-05,1.0013508120022772,7731.970003817296,51.54646669211531,finite_extrapolation
30,15,5_6C_36PER_4_3C_NEWSTRUCTURE,200,150,30,0.996160165334701,-5.6584885023535895e-05,1.0044431942695977,3613.0354278277964,24.08690285218531,finite_extrapolation
30,16,3_7C_31PER_5_9C_NEWSTRUCTURE,150,150,30,0.971778946968389,-0.00021672843301119641,1.004330612284875,942.7955965257174,6.285303976838116,finite_extrapolation
30,17,4_8C_80PER_4_8C_NEWSTRUCTURE,200,150,30,0.998413231999806,-1.2035632934571268e-05,1.0000679680774414,16622.970238878268,110.81980159252178,finite_extrapolation
30,18,5C_67PER_4C_NEWSTRUCTURE,200,150,30,0.996859217018129,-3.341428035464668e-05,1.0019275171891984,6043.150265276257,40.28766843517505,finite_extrapolation
30,19,5_3C_54PER_4C_NEWSTRUCTURE,200,150,30,0.998371392101536,-1.5435495769341453e-05,1.0006755838150343,13000.915993487131,86.6727732899142,finite_extrapolation
30,20,4_8C_80PER_4_8C_NEWSTRUCTURE,200,150,30,0.997507325816093,-2.4836633439864876e-05,1.0012522073589813,8103.038918147202,54.020259454314676,finite_extrapolation
30,21,5_6C_19PER_4_6C_NEWSTRUCTURE,200,150,30,0.995675224165399,-4.501215012777446e-05,1.002380238840385,4496.124674468896,29.974164496459306,finite_extrapolation
