Model,Policy,SOH1,SOH50,SOH100,SOH150,SOH200,Loss1to200,MeanSOH1to200,Slope151to200,ProjectedL80LocalLinear,MeanChargeTime
polynomial_mixed,3_6C-80PER_3_6C,0.9999508876112035,1.00132521848987,1.0012270698341277,0.9996132372355967,0.9964837206942767,0.0034671669169268338,1.0002180069572215,-6.289346761495755e-05,3324.0719926141933,13.38800241952045
polynomial_mixed,80PER_3_6C,0.9992039828218305,0.9962453681613551,0.9921175082038739,0.9868695821797505,0.980501590088985,0.018702392732845574,0.9913312736633754,-0.0001275838550286371,1614.768271804219,14.279889966140349
polynomial_mixed,4_8C_80PER_4_8C,0.998155217854556,0.9989375313055506,0.9970193175326726,0.9923571716340316,0.9849510936096277,0.013204124244928228,0.9951751461380989,-0.00014867034691323102,1444.0348559728009,13.08203536558995
polynomial_mixed,5_6C_19PER_4_6C_NEWSTRUCTURE,0.9994645568530511,0.9991485593470012,0.9980873952709283,0.9962800517591703,0.9937265288117274,0.005738028041323728,0.9975804996874933,-5.1219694835991145e-05,3982.266361251322,10.249731197117585
polynomial_mixed,5_6C_36PER_4_3C_NEWSTRUCTURE,0.999388824689533,0.9992331720077566,0.9983669498260525,0.996786189346787,0.99449089056996,0.004897934119573066,0.9978830481825273,-4.604888319604852e-05,4423.574537995512,10.214658808573457
polynomial_mixed,4_8C_80PER_4_8C_NEWSTRUCTURE,0.9901303835219158,0.9904107448496929,0.9899886483119367,0.9888512189203582,0.9869984566749578,0.0031319268469580663,0.989508659465482,-3.7198311478770746e-05,5227.068413620835,11.160462287633361
polynomial_mixed,5C_67PER_4C_NEWSTRUCTURE,0.9991905611087141,0.9994228371468399,0.9988391873968546,0.9974265819747279,0.9951850208804597,0.0040055402282543895,0.9982820124818135,-4.4997013019789704e-05,4537.73283561327,10.158737727484366
polynomial_mixed,5_3C_54PER_4C_NEWSTRUCTURE,0.9989867239955856,0.9991801488143294,0.9985986135465544,0.997230302994134,0.9950752171570678,0.00391150683851782,0.998069513952059,-4.3259071798248845e-05,4709.463773676359,10.157513242825358
polynomial_mixed,3_7C_31PER_5_9C_NEWSTRUCTURE,1.001284687198136,0.9931108365216204,0.9843260673959268,0.975092707189359,0.9654107559019173,0.03587393129621874,0.9839398617767803,-0.00019372874396500863,1053.826605781297,10.851867338010951
spline_mixed,3_6C-80PER_3_6C,0.9986141963110045,1.0018940922662234,1.0009873375866682,0.9994027847095355,0.9968422137749922,0.0017719825360122954,1.000220464713059,-5.0881566042873235e-05,4068.6351282728056,13.38800241952045
spline_mixed,80PER_3_6C,0.9987695743105267,0.9964139259085236,0.9920352907446687,0.986822066726378,0.9805788463342272,0.018190727976299503,0.9913321710027104,-0.00012490449709049424,1645.7353461292626,14.279889966140349
spline_mixed,4_8C_80PER_4_8C,0.9969683238072207,0.9994411753539445,0.9968335931473802,0.9921322550328748,0.9854125267455843,0.011555797061636341,0.9951769688756475,-0.00013470545326029203,1576.42925552027,13.08203536558995
spline_mixed,5_6C_19PER_4_6C_NEWSTRUCTURE,0.9983425172321289,0.9995501289032114,0.9978736416231515,0.9961984087005175,0.9939162179614689,0.004426299270659961,0.9975828422684712,-4.574660136257589e-05,4438.920754452082,10.249731197117585
spline_mixed,5_6C_36PER_4_3C_NEWSTRUCTURE,0.998327909958621,0.9996144058311381,0.998165565619906,0.9967067075962205,0.9946806007780288,0.0036473091805921953,0.997885237130478,-4.0650798670826535e-05,4989.096577276925,10.214658808573457
