Metric,PolicyA,PolicyB,Difference_AminusB,CI95Low,CI95High,BootstrapCIExcludesZero,ExactPermutationP,HolmAdjustedP,SignificantAfterHolm
SOH200,5_6C_36PER_4_3C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,0.028818602229930046,0.02262691679283243,0.03500699233414306,True,0.027777777777777776,0.9444444444444444,False
SOH200,4_8C_80PER_4_8C_NEWSTRUCTURE,5C_67PER_4C_NEWSTRUCTURE,-0.008235158831453426,-0.027152180367575177,0.001618082539842308,False,0.5238095238095238,1.0,False
SOH200,4_8C_80PER_4_8C_NEWSTRUCTURE,5_3C_54PER_4C_NEWSTRUCTURE,-0.008178287172491916,-0.027184255741061418,0.001868824249049203,False,0.3926767676767677,1.0,False
SOH200,4_8C_80PER_4_8C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,0.02139461887609806,0.002461352039215603,0.03642875017807712,True,0.3333333333333333,1.0,False
SOH200,5C_67PER_4C_NEWSTRUCTURE,5_3C_54PER_4C_NEWSTRUCTURE,5.687165896151036e-05,-0.0009449017137684035,0.0011117324296051746,False,0.9242424242424242,1.0,False
SOH200,5C_67PER_4C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,0.029629777707551486,0.023768074919838456,0.03548508922845594,True,0.03571428571428571,0.9642857142857142,False
SOH200,5_3C_54PER_4C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,0.029572906048589975,0.023512391490397723,0.03563581371968719,True,0.027777777777777776,0.9444444444444444,False
Loss1to200,3_6C-80PER_3_6C,80PER_3_6C,-0.01659316771369268,-0.03254860580487451,-0.0006377296225106299,True,0.3333333333333333,1.0,False
Loss1to200,3_6C-80PER_3_6C,4_8C_80PER_4_8C,-0.009721654567879545,-0.015988555049580078,-0.0034547540861786796,True,0.3333333333333333,1.0,False
Loss1to200,3_6C-80PER_3_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,-0.002970286868646199,-0.005108294978740105,-0.0008411192971204856,True,0.05555555555555555,1.0,False
Loss1to200,3_6C-80PER_3_6C,5_6C_36PER_4_3C_NEWSTRUCTURE,-0.002195883586624925,-0.0047999827986619035,0.0004199865580358786,False,0.19444444444444445,1.0,False
Loss1to200,3_6C-80PER_3_6C,4_8C_80PER_4_8C_NEWSTRUCTURE,-0.00039445259206016825,-0.0025980516454467972,0.001728965974950425,False,0.7619047619047619,1.0,False
Loss1to200,3_6C-80PER_3_6C,5C_67PER_4C_NEWSTRUCTURE,-0.0011477707920807267,-0.0032731062134627427,0.0009359787253355479,False,0.2857142857142857,1.0,False
Loss1to200,3_6C-80PER_3_6C,5_3C_54PER_4C_NEWSTRUCTURE,-0.0009623800339186861,-0.0033231913100522925,0.0014369066567301953,False,0.4722222222222222,1.0,False
Loss1to200,3_6C-80PER_3_6C,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.0330275103422647,-0.040288583887823526,-0.02576643679670576,True,0.3333333333333333,1.0,False
Loss1to200,80PER_3_6C,4_8C_80PER_4_8C,0.006871513145813135,-0.011967992419509854,0.025711018711136235,False,1.0,1.0,False
Loss1to200,80PER_3_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,0.013622880845046481,-0.001074430405233473,0.02834424742050971,False,0.16666666666666666,1.0,False
Loss1to200,80PER_3_6C,5_6C_36PER_4_3C_NEWSTRUCTURE,0.014397284127067755,-0.0007712036975027814,0.029579857065777735,False,0.1111111111111111,1.0,False
Loss1to200,80PER_3_6C,4_8C_80PER_4_8C_NEWSTRUCTURE,0.016198715121632512,0.0014497282583056242,0.030920213691249827,True,0.047619047619047616,1.0,False
Loss1to200,80PER_3_6C,5C_67PER_4C_NEWSTRUCTURE,0.015445396921611954,0.0007915380213873169,0.0301311748578005,True,0.03571428571428571,0.9642857142857142,False
Loss1to200,80PER_3_6C,5_3C_54PER_4C_NEWSTRUCTURE,0.015630787679773994,0.0006538352952293325,0.030539342507024243,True,0.08333333333333333,1.0,False
Loss1to200,80PER_3_6C,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.01643434262857202,-0.0362680212577533,0.0033993360006091544,False,0.6666666666666666,1.0,False
Loss1to200,4_8C_80PER_4_8C,5_6C_19PER_4_6C_NEWSTRUCTURE,0.006751367699233346,0.0017501779209179364,0.011799152301981811,True,0.027777777777777776,0.9166666666666666,False
Loss1to200,4_8C_80PER_4_8C,5_6C_36PER_4_3C_NEWSTRUCTURE,0.00752577098125462,0.0020774319848606117,0.01298558663695653,True,0.027777777777777776,0.9166666666666666,False
Loss1to200,4_8C_80PER_4_8C,4_8C_80PER_4_8C_NEWSTRUCTURE,0.009327201975819377,0.004267450600786038,0.01437227791483442,True,0.047619047619047616,1.0,False
Loss1to200,4_8C_80PER_4_8C,5C_67PER_4C_NEWSTRUCTURE,0.008573883775798818,0.0036655007017906945,0.01354170076735603,True,0.03571428571428571,0.9642857142857142,False
Loss1to200,4_8C_80PER_4_8C,5_3C_54PER_4C_NEWSTRUCTURE,0.008759274533960859,0.003387137102763546,0.014001992169838122,True,0.027777777777777776,0.9166666666666666,False
Loss1to200,4_8C_80PER_4_8C,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.023305855774385154,-0.03345099679408525,-0.013160714754685277,True,0.3333333333333333,1.0,False
Loss1to200,5_6C_19PER_4_6C_NEWSTRUCTURE,5_6C_36PER_4_3C_NEWSTRUCTURE,0.0007744032820212743,-0.0006985817778031395,0.002260941908334665,False,0.35955710955710957,1.0,False
Loss1to200,5_6C_19PER_4_6C_NEWSTRUCTURE,4_8C_80PER_4_8C_NEWSTRUCTURE,0.002575834276586031,0.0015668130081051945,0.003446557095877381,True,0.003787878787878788,0.13636363636363635,False
Loss1to200,5_6C_19PER_4_6C_NEWSTRUCTURE,5C_67PER_4C_NEWSTRUCTURE,0.0018225160765654724,0.0008552597076779356,0.002734411045090637,True,0.008158508158508158,0.28554778554778554,False
Loss1to200,5_6C_19PER_4_6C_NEWSTRUCTURE,5_3C_54PER_4C_NEWSTRUCTURE,0.002007906834727513,0.0006575051721793123,0.003224710966565536,True,0.020396270396270396,0.6934731934731935,False
Loss1to200,5_6C_19PER_4_6C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.0300572234736185,-0.03607649989795702,-0.024040898304042848,True,0.027777777777777776,0.9166666666666666,False
Loss1to200,5_6C_36PER_4_3C_NEWSTRUCTURE,4_8C_80PER_4_8C_NEWSTRUCTURE,0.0018014309945647566,0.0003217448891652597,0.0032134209222703866,True,0.08333333333333333,1.0,False
Loss1to200,5_6C_36PER_4_3C_NEWSTRUCTURE,5C_67PER_4C_NEWSTRUCTURE,0.0010481127945441981,-0.00038699078069393824,0.002434186124081803,False,0.22261072261072262,1.0,False
Loss1to200,5_6C_36PER_4_3C_NEWSTRUCTURE,5_3C_54PER_4C_NEWSTRUCTURE,0.0012335035527062388,-0.0004956571283614125,0.002884803341566988,False,0.20862470862470864,1.0,False
Loss1to200,5_6C_36PER_4_3C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.030831626755639774,-0.037293730156292004,-0.02441550633724047,True,0.027777777777777776,0.9166666666666666,False
Loss1to200,4_8C_80PER_4_8C_NEWSTRUCTURE,5C_67PER_4C_NEWSTRUCTURE,-0.0007533182000205585,-0.0015842757767206227,0.0001784719001452425,False,0.1645021645021645,1.0,False
Loss1to200,4_8C_80PER_4_8C_NEWSTRUCTURE,5_3C_54PER_4C_NEWSTRUCTURE,-0.0005679274418585178,-0.0018430846987265547,0.0007287125849361745,False,0.4898989898989899,1.0,False
Loss1to200,4_8C_80PER_4_8C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.03263305775020453,-0.03863471685521436,-0.026646074081212334,True,0.047619047619047616,1.0,False
Loss1to200,5C_67PER_4C_NEWSTRUCTURE,5_3C_54PER_4C_NEWSTRUCTURE,0.00018539075816204065,-0.0011209833754732084,0.0014375889321055872,False,0.7995337995337995,1.0,False
Loss1to200,5C_67PER_4C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.03187973955018397,-0.0378179121928914,-0.025935706988168317,True,0.03571428571428571,0.9642857142857142,False
Loss1to200,5_3C_54PER_4C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.03206513030834601,-0.03830202100808157,-0.02580690835940811,True,0.027777777777777776,0.9166666666666666,False
MeanSOH1to200,3_6C-80PER_3_6C,80PER_3_6C,0.008888975444725111,-0.0005435962450575094,0.018321547134507732,False,0.6666666666666666,1.0,False
MeanSOH1to200,3_6C-80PER_3_6C,4_8C_80PER_4_8C,0.005043735365816815,0.00032964144461167244,0.009757829287022513,True,0.3333333333333333,1.0,False
MeanSOH1to200,3_6C-80PER_3_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,0.0026387456478715876,-0.0009556129880350401,0.006212756316351217,False,0.2222222222222222,1.0,False
MeanSOH1to200,3_6C-80PER_3_6C,5_6C_36PER_4_3C_NEWSTRUCTURE,0.002336362982539697,-0.0013938645641630137,0.006034177923263895,False,0.2222222222222222,1.0,False
MeanSOH1to200,3_6C-80PER_3_6C,4_8C_80PER_4_8C_NEWSTRUCTURE,0.010711006667753598,-0.0018829270132825204,0.029076494890833415,False,0.5238095238095238,1.0,False
MeanSOH1to200,3_6C-80PER_3_6C,5C_67PER_4C_NEWSTRUCTURE,0.0019375955963663039,-0.00161043905541359,0.005492163146885193,False,0.25,1.0,False
MeanSOH1to200,3_6C-80PER_3_6C,5_3C_54PER_4C_NEWSTRUCTURE,0.0021501305752977817,-0.0015485724001088551,0.00589738669157247,False,0.2222222222222222,1.0,False
MeanSOH1to200,3_6C-80PER_3_6C,3_7C_31PER_5_9C_NEWSTRUCTURE,0.016280500881431403,0.010583631421346551,0.021977370341516145,True,0.3333333333333333,1.0,False
MeanSOH1to200,80PER_3_6C,4_8C_80PER_4_8C,-0.0038452400789082963,-0.01118538683101844,0.0034949066732024026,False,1.0,1.0,False
MeanSOH1to200,80PER_3_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,-0.006250229796853524,-0.012439132565460132,-7.232094410339927e-05,True,0.08333333333333333,1.0,False
MeanSOH1to200,80PER_3_6C,5_6C_36PER_4_3C_NEWSTRUCTURE,-0.006552612462185414,-0.012908456181322126,-0.00021047343548279425,True,0.08333333333333333,1.0,False
MeanSOH1to200,80PER_3_6C,4_8C_80PER_4_8C_NEWSTRUCTURE,0.0018220312230284863,-0.01340904615768801,0.02026225258151404,False,1.0,1.0,False
MeanSOH1to200,80PER_3_6C,5C_67PER_4C_NEWSTRUCTURE,-0.006951379848358807,-0.013149581583431722,-0.0007809919015070443,True,0.03571428571428571,1.0,False
MeanSOH1to200,80PER_3_6C,5_3C_54PER_4C_NEWSTRUCTURE,-0.0067388448694273295,-0.013065880518548623,-0.000388996173253145,True,0.08333333333333333,1.0,False
MeanSOH1to200,80PER_3_6C,3_7C_31PER_5_9C_NEWSTRUCTURE,0.007391525436706292,-0.0009313968542835616,0.015714447727696035,False,0.6666666666666666,1.0,False
MeanSOH1to200,4_8C_80PER_4_8C,5_6C_19PER_4_6C_NEWSTRUCTURE,-0.0024049897179452273,-0.0038865767227970168,-0.0009491187844580197,True,0.027777777777777776,0.9722222222222222,False
MeanSOH1to200,4_8C_80PER_4_8C,5_6C_36PER_4_3C_NEWSTRUCTURE,-0.002707372383277118,-0.004322764131138343,-0.0010791423963020133,True,0.027777777777777776,0.9722222222222222,False
