BatteryId,Policy,NObs,ResidualMean,ResidualSD,ResidualRMSE,ResidualMAE,ResidualMaxAbs,ResidualLag1Correlation,DurbinWatson,ResidualTrendPerCycle
1,3_6C-80PER_3_6C,200,2.4316715308003724e-13,0.0012004418636060367,0.0011974369981583354,0.0006843187603161421,0.00750337684929947,0.435730761865423,1.1277997942324596,-6.2208251951738995e-15
3,3_6C-80PER_3_6C,200,2.420263989222349e-13,0.0003515848250979063,0.00035070476157721294,0.0001808191589319852,0.0034042962256471965,0.5725265640156512,0.832334700572404,-6.230637455214657e-15
4,80PER_3_6C,200,2.430983192525105e-13,0.001230076610459836,0.0012269975653041686,0.000801286473333534,0.005781788603360094,0.011601059903905527,1.9671730421149782,-7.48637441635464e-15
6,80PER_3_6C,200,2.429179080110089e-13,0.00045319776836323216,0.0004520633541475871,0.000339883921135633,0.0028616999571569046,0.1926693446120207,1.4491031401873165,-6.4215535151127264e-15
7,4_8C_80PER_4_8C,200,2.4241386675782903e-13,0.000397039512085348,0.00039604566944506083,0.00021957137457036645,0.003867175676208867,0.4499401322828375,0.8723708355987788,-6.304424301908746e-15
8,4_8C_80PER_4_8C,200,2.4212187810235266e-13,0.0003443454740526012,0.00034348353158922783,0.00018768327885103077,0.0035166315059937947,0.5831481438946186,0.6735570491194954,-6.268624318540491e-15
12,5_6C_19PER_4_6C_NEWSTRUCTURE,200,2.430999845870474e-13,0.0001818914278712394,0.00018143612946536615,0.0001283094361934123,0.0010600160927519697,0.7230128295893956,0.5131220303945018,-6.806588317615699e-15
13,5_6C_36PER_4_3C_NEWSTRUCTURE,200,2.4279356303225084e-13,0.0001837930739532831,0.00018333301547465749,0.00013302084056092677,0.0009308372387328845,0.7848701267340094,0.40638211890687026,-6.768142337601413e-15
15,5_6C_36PER_4_3C_NEWSTRUCTURE,200,2.42673103834079e-13,0.0002204149684832355,0.00021986324053785877,0.00014771173995964005,0.0017735469511925839,0.77282019292943,0.4066611892087142,-6.7810214501331554e-15
17,4_8C_80PER_4_8C_NEWSTRUCTURE,200,2.42735276323458e-13,0.0003718646560432996,0.000370933829411838,0.0002203577857544653,0.002358475871089838,0.16468304570137943,1.5822297334326785,-6.675048322586559e-15
18,5C_67PER_4C_NEWSTRUCTURE,200,2.4296509248955544e-13,0.00021404097791780064,0.00021350520491751103,0.0001372155263260094,0.0016065833515386263,0.8678453454023991,0.2486356290685408,-6.564033944076155e-15
19,5_3C_54PER_4C_NEWSTRUCTURE,200,2.4356128225377914e-13,0.00022860057459383242,0.0002280283569890096,0.00014237500209041186,0.0016606909976920603,0.7498642321990561,0.4491404068212918,-6.542285336226559e-15
20,4_8C_80PER_4_8C_NEWSTRUCTURE,200,2.430178280832251e-13,0.00032051177992742266,0.00031970949636644106,0.0001929584361476755,0.0013513805187882477,0.20681035478080578,1.5147194078632453,-6.739892359839978e-15
21,5_6C_19PER_4_6C_NEWSTRUCTURE,200,2.429023648886641e-13,0.00019897894787224046,0.00019848087713394977,0.00013238476213956685,0.0011460823765673256,0.5209235867322421,0.8800849956618114,-6.762771256942465e-15
22,5_6C_36PER_4_3C_NEWSTRUCTURE,200,2.4265200959661113e-13,0.0001884455414320575,0.00018797383720931272,0.00012227705672734513,0.0013085139620198083,0.496173347089393,0.8924680348045676,-6.726983942532786e-15
23,5_6C_19PER_4_6C_NEWSTRUCTURE,200,2.4179214186403896e-13,0.00023881724110264216,0.00023821944982439647,0.00015404315785741085,0.0018467707703889724,0.7705041961348659,0.411084069449719,-6.4385828043610795e-15
26,5_3C_54PER_4C_NEWSTRUCTURE,200,2.43021158752299e-13,0.0008989435374841705,0.0008966933623968851,0.00035742796293628307,0.008250024224063957,0.5992856818451529,0.7888299325204747,-7.652372499451052e-15
27,5_6C_19PER_4_6C_NEWSTRUCTURE,200,2.425087908264345e-13,0.0001966560908117562,0.00019616383449324925,0.00013620905477453483,0.0010531104691448023,0.589085342925028,0.7648504946846989,-6.9071759771997184e-15
28,5_6C_36PER_4_3C_NEWSTRUCTURE,200,2.420952327497616e-13,0.00019841122858479064,0.0001979145789232906,0.0001307697453034018,0.001667552683221718,0.8363758434950265,0.30217396969501775,-6.878672273625471e-15
29,5C_67PER_4C_NEWSTRUCTURE,200,2.4298507650399867e-13,0.00018773213664539983,0.00018726221816960258,0.00012082166238816138,0.0016020114937852492,0.831393893472036,0.3113237575851724,-6.7185950729997265e-15
