BatteryId,Policy,Family,Candidate,SelectedFamily,Intercept,Coefficient,EstimatedT80,T80Status,ExtrapolationMultiple
1,3_6C-80PER_3_6C,exponential,exponential_w60_s0.001,False,1.0084475490185623,-0.03429695726833824,1956.9528349003351,finite_extrapolation,13.046352232668902
1,3_6C-80PER_3_6C,linear,linear_w40_s1,True,1.0103024928200517,-5.063126357490324e-05,4153.609409904077,finite_extrapolation,27.690729399360517
1,3_6C-80PER_3_6C,power,power_w60_s1.25,False,1.0078025491503102,-9.369740792954607e-06,2997.3581230702516,finite_extrapolation,19.98238748713501
2,3_6C-80PER_3_6C,exponential,exponential_w60_s0.001,False,0.9985786080842596,-0.02031790795130874,2377.0964263633864,finite_extrapolation,15.847309509089243
2,3_6C-80PER_3_6C,linear,linear_w40_s1,True,0.9987835230269415,-2.3283430599976557e-05,8537.553011073102,finite_extrapolation,56.91702007382068
2,3_6C-80PER_3_6C,power,power_w60_s1.25,False,0.998193056185969,-5.542136014959087e-06,4392.674305209715,finite_extrapolation,29.284495368064768
3,3_6C-80PER_3_6C,exponential,exponential_w60_s0.001,False,0.9991537139785136,-0.01837589902797464,2471.2950224203723,finite_extrapolation,16.47530014946915
3,3_6C-80PER_3_6C,linear,linear_w40_s1,True,0.9990028389691129,-1.856093547490214e-05,10721.595322509576,finite_extrapolation,71.47730215006385
3,3_6C-80PER_3_6C,power,power_w60_s1.25,False,0.9988038964372167,-5.009623186694412e-06,4774.1478593420115,finite_extrapolation,31.82765239561341
4,80PER_3_6C,exponential,exponential_w60_s0.001,False,1.0039925613216008,-0.16593344141984362,801.716240396068,finite_extrapolation,5.344774935973787
4,80PER_3_6C,linear,linear_w40_s1,True,1.0056696689163864,-0.00019016191427075486,1081.550265756956,finite_extrapolation,7.210335105046373
4,80PER_3_6C,power,power_w60_s1.25,False,1.0008421863918753,-4.525776609847711e-05,827.4265678347491,finite_extrapolation,5.5161771188983275
5,80PER_3_6C,exponential,exponential_w60_s0.001,False,1.0019377318174227,-0.03524623095913486,1906.4774538872516,finite_extrapolation,12.709849692581678
5,80PER_3_6C,linear,linear_w40_s1,True,1.0026960623042487,-4.3378862305562137e-05,4672.6919870892625,finite_extrapolation,31.151279913928416
5,80PER_3_6C,power,power_w60_s1.25,False,1.0012705113583622,-9.61817111875791e-06,2861.2125443956406,finite_extrapolation,19.074750295970937
6,80PER_3_6C,exponential,exponential_w60_s0.001,False,1.0010397107464544,-0.02957335923092714,2053.867354280177,finite_extrapolation,13.692449028534513
6,80PER_3_6C,linear,linear_w40_s1,True,1.0012962069522642,-3.358898014633967e-05,5992.924050544601,finite_extrapolation,39.952827003630674
6,80PER_3_6C,power,power_w60_s1.25,False,1.0004786070869442,-8.06695280898334e-06,3283.1204470355583,finite_extrapolation,21.88746964690372
7,4_8C_80PER_4_8C,exponential,exponential_w60_s0.001,False,1.0033560365006498,-0.05195994435081884,1592.0287978499284,finite_extrapolation,10.613525318999523
7,4_8C_80PER_4_8C,linear,linear_w40_s1,True,1.0051160203091338,-6.867315176229809e-05,2986.844422389588,finite_extrapolation,19.91229614926392
7,4_8C_80PER_4_8C,power,power_w60_s1.25,False,1.0023718508709585,-1.4177670894108304e-05,2106.8623887630515,finite_extrapolation,14.045749258420344
8,4_8C_80PER_4_8C,exponential,exponential_w60_s0.001,False,1.0070012962060282,-0.10559365388666192,1085.3099896268586,finite_extrapolation,7.235399930845724
8,4_8C_80PER_4_8C,linear,linear_w40_s1,True,1.0096741916293117,-0.0001329418349026392,1577.1874352634584,finite_extrapolation,10.51458290175639
8,4_8C_80PER_4_8C,power,power_w60_s1.25,False,1.0050001073967587,-2.8809259301541557e-05,1207.195469332358,finite_extrapolation,8.047969795549053
9,4_8C_80PER_4_8C,exponential,exponential_w60_s0.001,False,1.0064627443001448,-0.10684537755541614,1075.8044014292348,finite_extrapolation,7.172029342861565
9,4_8C_80PER_4_8C,linear,linear_w40_s1,True,1.0086747735427448,-0.0001308221815558567,1595.102382952142,finite_extrapolation,10.634015886347614
9,4_8C_80PER_4_8C,power,power_w60_s1.25,False,1.0044355914307652,-2.9145172089246986e-05,1193.4161383121798,finite_extrapolation,7.956107588747865
10,5C_67PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0004485777466214,-0.02040074400701835,2381.9092958479314,finite_extrapolation,15.879395305652876
10,5C_67PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0016443280207665,-3.0688986632518925e-05,6570.576292900411,finite_extrapolation,43.80384195266941
10,5C_67PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0000630851067045,-5.568803737010223e-06,4408.836967703558,finite_extrapolation,29.392246451357053
11,5_3C_54PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0003187712204555,-0.02207097144060647,2310.1682045453276,finite_extrapolation,15.401121363635518
11,5_3C_54PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0011445085568516,-2.9707215997453547e-05,6770.897298962423,finite_extrapolation,45.13931532641615
11,5_3C_54PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,False,0.9999004202802688,-6.0214869070765175e-06,4138.928925368983,finite_extrapolation,27.592859502459888
12,5_6C_19PER_4_6C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0004367354434458,-0.025088701296903673,2196.0153568332275,finite_extrapolation,14.640102378888184
