BatteryId,Policy,NObs,RMSE,MAE,Bias,MaxAbsError
1,3_6C-80PER_3_6C,200,0.006978910206606187,0.00683393757708846,-0.006798277612668495,0.008143818716326412
3,3_6C-80PER_3_6C,200,0.00688457605977107,0.006798277612182706,0.006798277612182706,0.00925500306539584
4,80PER_3_6C,200,0.014435184920421265,0.012221763017189309,0.012056743601128926,0.02631826933153525
6,80PER_3_6C,200,0.01439299162590574,0.012250651044569637,-0.012056743601615447,0.025986160170811456
7,4_8C_80PER_4_8C,200,0.0038359535996740956,0.0028871208221019603,-0.0026262427542395623,0.008235445767653893
8,4_8C_80PER_4_8C,200,0.0038325386826074032,0.0029775006393682295,0.002626242753754116,0.008302177237741515
12,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0003501862249085757,0.000296101960859988,-3.2584140638525216e-06,0.001227187890597281
13,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.00035613561551583203,0.00028673329415529415,-0.00017542092841820567,0.0012877560147079858
15,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0005661620208843056,0.00043599307276813437,0.00033260556787507333,0.0020006084975722205
17,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.011560138739639592,0.011543748795674103,-0.011543748795674103,0.012699836919522034
18,5C_67PER_4C_NEWSTRUCTURE,200,0.00045569698612852276,0.0003330100123275581,0.0002602157684099304,0.002829643964328943
19,5_3C_54PER_4C_NEWSTRUCTURE,200,0.001174444397153446,0.0010114492629199234,-0.0009605180508415134,0.0024276887246703627
20,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.011082748367063747,0.011074347480154099,-0.011074347480154099,0.011808170329843604
21,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0005037540611493955,0.00038155326237207797,0.0002741782397819864,0.0015976169833100684
22,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0011201283558788797,0.0009057045318611273,-0.0008700763448876376,0.0024114033814116587
23,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0005535887723935375,0.00037485795379923917,0.00025276817192647626,0.003456918269733378
26,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0015588270832477633,0.001342239807593919,0.001212500271324407,0.009478219814381794
27,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0006819734739062974,0.0006372169768742947,0.0005125937488084991,0.0017638430414494977
28,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.001019976966439319,0.0009501333038885757,0.0007788820697317483,0.0016577985311411192
29,5C_67PER_4C_NEWSTRUCTURE,200,0.00033717923422344013,0.00026466890744199445,0.0001494968991924178,0.0020420340988228647
30,3_7C_31PER_5_9C_NEWSTRUCTURE,200,0.005813626034158676,0.004634703200315804,-0.004591760808603612,0.011180041461180679
31,5C_67PER_4C_NEWSTRUCTURE,200,0.0005060404449611992,0.0003170762361525592,-8.781549360911911e-05,0.0039147181317970015
32,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0006324334579791325,0.0005541107605218021,-0.00044846914264944803,0.0029302280151584092
33,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0010237271160673596,0.0008730720688292343,-0.0007754936102035731,0.0028594421592498254
34,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.00041219983136845284,0.00027673996026546076,2.02789353412669e-06,0.003233676506879335
35,3_7C_31PER_5_9C_NEWSTRUCTURE,200,0.0058136495264037025,0.004614345954896226,0.004591760808116317,0.01129206033971919
36,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0004108387489106062,0.00033282556930780915,-0.0002826865384919625,0.002283529310709409
37,5C_67PER_4C_NEWSTRUCTURE,200,0.0006725195487958096,0.0006042289537496209,0.0004714407215287014,0.001218733115749493
38,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0012315393281857572,0.0010849238952388529,0.0008559171663863607,0.0020364443763511986
39,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.00033559681237145756,0.0002696582326162661,-0.00016175220586057526,0.0008282015370084661
40,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0012178403225105037,0.001066456552201881,0.0009929585069438885,0.0020603384851586304
41,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.04582134150676006,0.0458023011211258,0.0458023011211258,0.05268807597726932
42,5C_67PER_4C_NEWSTRUCTURE,200,0.00040519202289395964,0.00032519860036236915,-0.00015961951243804561,0.0011526772800338758
43,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0006667772452710714,0.0005518706726004563,0.0004185631167209036,0.0026982353681820337
44,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.00045368668184689564,0.00025236507994003896,-9.903593208938743e-05,0.0037483422947063305
45,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0014065980719390378,0.001203480211231841,-0.0010609767664790449,0.003828102875358619
46,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.011680275929615428,0.01167596701713462,-0.01167596701713462,0.01227477196730642
47,5C_67PER_4C_NEWSTRUCTURE,200,0.0008098123417580575,0.000687505706183002,-0.0006337183845411326,0.0018754328474690496
48,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0010027271994513152,0.0008719977145879099,-0.0007953068241486904,0.0027572755182271314
49,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.011516324909025323,0.01150823782936639,-0.01150823782936639,0.012217747515212096
