Policy,NBattery,MeanResidualRMSE,MedianResidualRMSE,MeanLag1Correlation,MeanDurbinWatson,MaxResidualAbs
3_6C-80PER_3_6C,2,0.0007740708798677741,0.0007740708798677741,0.504128662940537,0.9800672474024318,0.00750337684929947
80PER_3_6C,2,0.0008395304597258778,0.0008395304597258778,0.10213520225796312,1.7081380911511475,0.005781788603360094
4_8C_80PER_4_8C,2,0.00036976460051714433,0.00036976460051714433,0.516544138088728,0.7729639423591371,0.003867175676208867
5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00020350616744822548,0.00019848087713394977,0.7219068151453827,0.5117835239245134,0.0018467707703889724
5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00020049360660023068,0.0001979145789232906,0.7727583077048824,0.4157632368583701,0.001820666333976928
4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0004576219501950295,0.00031970949636644106,0.3047897040034136,1.3394818827915977,0.0077269907604701205
5C_67PER_4C_NEWSTRUCTURE,6,0.00020206969241320536,0.00019128820982777523,0.8240536638477952,0.32333450896196725,0.0019341083133107562
5_3C_54PER_4C_NEWSTRUCTURE,7,0.0003090893599076167,0.00020643495676750525,0.7566218267981755,0.4564945425853447,0.008250024224063957
3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.00020089211249746478,0.00020089211249746478,0.6654058378876377,0.6268572016461132,0.001297235305239175
