Model,Policy,Cycle,SOHPred
polynomial_mixed,3_6C-80PER_3_6C,83,1.001430500104792
polynomial_mixed,3_6C-80PER_3_6C,84,1.0014233838062716
polynomial_mixed,3_6C-80PER_3_6C,85,1.0014156612341738
polynomial_mixed,3_6C-80PER_3_6C,86,1.0014073323884987
polynomial_mixed,3_6C-80PER_3_6C,87,1.0013983972692468
polynomial_mixed,3_6C-80PER_3_6C,88,1.0013888558764177
polynomial_mixed,3_6C-80PER_3_6C,89,1.0013787082100114
polynomial_mixed,3_6C-80PER_3_6C,90,1.001367954270028
polynomial_mixed,3_6C-80PER_3_6C,91,1.0013565940564675
polynomial_mixed,3_6C-80PER_3_6C,92,1.0013446275693298
polynomial_mixed,3_6C-80PER_3_6C,93,1.001332054808615
polynomial_mixed,3_6C-80PER_3_6C,94,1.0013188757743234
polynomial_mixed,3_6C-80PER_3_6C,95,1.0013050904664542
polynomial_mixed,3_6C-80PER_3_6C,96,1.001290698885008
polynomial_mixed,3_6C-80PER_3_6C,97,1.001275701029985
polynomial_mixed,3_6C-80PER_3_6C,98,1.0012600969013845
polynomial_mixed,3_6C-80PER_3_6C,99,1.0012438864992073
polynomial_mixed,3_6C-80PER_3_6C,100,1.0012270698234527
polynomial_mixed,3_6C-80PER_3_6C,101,1.0012096468741207
polynomial_mixed,3_6C-80PER_3_6C,102,1.0011916176512121
polynomial_mixed,3_6C-80PER_3_6C,103,1.0011729821547262
polynomial_mixed,3_6C-80PER_3_6C,104,1.001153740384663
polynomial_mixed,3_6C-80PER_3_6C,105,1.001133892341023
polynomial_mixed,3_6C-80PER_3_6C,106,1.0011134380238058
polynomial_mixed,3_6C-80PER_3_6C,107,1.0010923774330112
polynomial_mixed,3_6C-80PER_3_6C,108,1.0010707105686396
polynomial_mixed,3_6C-80PER_3_6C,109,1.0010484374306912
polynomial_mixed,3_6C-80PER_3_6C,110,1.0010255580191652
polynomial_mixed,3_6C-80PER_3_6C,111,1.0010020723340625
polynomial_mixed,3_6C-80PER_3_6C,112,1.0009779803753824
polynomial_mixed,3_6C-80PER_3_6C,113,1.0009532821431253
polynomial_mixed,3_6C-80PER_3_6C,114,1.000927977637291
polynomial_mixed,3_6C-80PER_3_6C,115,1.0009020668578796
polynomial_mixed,3_6C-80PER_3_6C,116,1.0008755498048911
polynomial_mixed,3_6C-80PER_3_6C,117,1.0008484264783257
polynomial_mixed,3_6C-80PER_3_6C,118,1.0008206968781828
polynomial_mixed,3_6C-80PER_3_6C,119,1.0007923610044631
polynomial_mixed,3_6C-80PER_3_6C,120,1.0007634188571661
polynomial_mixed,3_6C-80PER_3_6C,121,1.000733870436292
polynomial_mixed,3_6C-80PER_3_6C,122,1.0007037157418408
polynomial_mixed,3_6C-80PER_3_6C,123,1.0006729547738127
polynomial_mixed,3_6C-80PER_3_6C,124,1.000641587532207
polynomial_mixed,3_6C-80PER_3_6C,125,1.0006096140170246
polynomial_mixed,3_6C-80PER_3_6C,126,1.000577034228265
polynomial_mixed,3_6C-80PER_3_6C,127,1.0005438481659281
polynomial_mixed,3_6C-80PER_3_6C,128,1.0005100558300142
polynomial_mixed,3_6C-80PER_3_6C,129,1.0004756572205233
polynomial_mixed,3_6C-80PER_3_6C,130,1.000440652337455
polynomial_mixed,3_6C-80PER_3_6C,131,1.0004050411808099
polynomial_mixed,3_6C-80PER_3_6C,132,1.0003688237505877
polynomial_mixed,3_6C-80PER_3_6C,133,1.000332000046788
polynomial_mixed,3_6C-80PER_3_6C,134,1.0002945700694115
polynomial_mixed,3_6C-80PER_3_6C,135,1.0002565338184577
polynomial_mixed,3_6C-80PER_3_6C,136,1.0002178912939268
polynomial_mixed,3_6C-80PER_3_6C,137,1.0001786424958188
polynomial_mixed,3_6C-80PER_3_6C,138,1.0001387874241339
polynomial_mixed,3_6C-80PER_3_6C,139,1.0000983260788714
polynomial_mixed,3_6C-80PER_3_6C,140,1.0000572584600322
polynomial_mixed,3_6C-80PER_3_6C,141,1.000015584567616
polynomial_mixed,3_6C-80PER_3_6C,142,0.9999733044016221
polynomial_mixed,3_6C-80PER_3_6C,143,0.9999304179620516
polynomial_mixed,3_6C-80PER_3_6C,144,0.9998869252489039
polynomial_mixed,3_6C-80PER_3_6C,145,0.9998428262621788
polynomial_mixed,3_6C-80PER_3_6C,146,0.9997981210018768
polynomial_mixed,3_6C-80PER_3_6C,147,0.9997528094679976
polynomial_mixed,3_6C-80PER_3_6C,148,0.9997068916605414
polynomial_mixed,3_6C-80PER_3_6C,149,0.999660367579508
polynomial_mixed,3_6C-80PER_3_6C,150,0.9996132372248974
polynomial_mixed,3_6C-80PER_3_6C,151,0.9995655005967099
polynomial_mixed,3_6C-80PER_3_6C,152,0.9995171576949452
polynomial_mixed,3_6C-80PER_3_6C,153,0.9994682085196032
polynomial_mixed,3_6C-80PER_3_6C,154,0.9994186530706842
polynomial_mixed,3_6C-80PER_3_6C,155,0.9993684913481883
polynomial_mixed,3_6C-80PER_3_6C,156,0.9993177233521149
polynomial_mixed,3_6C-80PER_3_6C,157,0.9992663490824646
polynomial_mixed,3_6C-80PER_3_6C,158,0.9992143685392373
polynomial_mixed,3_6C-80PER_3_6C,159,0.9991617817224325
polynomial_mixed,3_6C-80PER_3_6C,160,0.9991085886320509
polynomial_mixed,3_6C-80PER_3_6C,161,0.9990547892680922
polynomial_mixed,3_6C-80PER_3_6C,162,0.9990003836305561
polynomial_mixed,3_6C-80PER_3_6C,163,0.9989453717194431
polynomial_mixed,3_6C-80PER_3_6C,164,0.9988897535347531
polynomial_mixed,3_6C-80PER_3_6C,165,0.9988335290764856
polynomial_mixed,3_6C-80PER_3_6C,166,0.9987766983446412
polynomial_mixed,3_6C-80PER_3_6C,167,0.9987192613392198
polynomial_mixed,3_6C-80PER_3_6C,168,0.998661218060221
polynomial_mixed,3_6C-80PER_3_6C,169,0.9986025685076454
polynomial_mixed,3_6C-80PER_3_6C,170,0.9985433126814925
polynomial_mixed,3_6C-80PER_3_6C,171,0.9984834505817625
polynomial_mixed,3_6C-80PER_3_6C,172,0.9984229822084554
polynomial_mixed,3_6C-80PER_3_6C,173,0.9983619075615712
polynomial_mixed,3_6C-80PER_3_6C,174,0.9983002266411097
polynomial_mixed,3_6C-80PER_3_6C,175,0.9982379394470713
polynomial_mixed,3_6C-80PER_3_6C,176,0.9981750459794558
polynomial_mixed,3_6C-80PER_3_6C,177,0.9981115462382629
polynomial_mixed,3_6C-80PER_3_6C,178,0.9980474402234932
polynomial_mixed,3_6C-80PER_3_6C,179,0.9979827279351461
polynomial_mixed,3_6C-80PER_3_6C,180,0.9979174093732222
polynomial_mixed,3_6C-80PER_3_6C,181,0.997851484537721
polynomial_mixed,3_6C-80PER_3_6C,182,0.9977849534286426
polynomial_mixed,3_6C-80PER_3_6C,183,0.9977178160459872
polynomial_mixed,3_6C-80PER_3_6C,184,0.9976500723897548
polynomial_mixed,3_6C-80PER_3_6C,185,0.9975817224599449
polynomial_mixed,3_6C-80PER_3_6C,186,0.9975127662565583
polynomial_mixed,3_6C-80PER_3_6C,187,0.9974432037795945
polynomial_mixed,3_6C-80PER_3_6C,188,0.9973730350290533
polynomial_mixed,3_6C-80PER_3_6C,189,0.9973022600049353
polynomial_mixed,3_6C-80PER_3_6C,190,0.99723087870724
polynomial_mixed,3_6C-80PER_3_6C,191,0.9971588911359676
polynomial_mixed,3_6C-80PER_3_6C,192,0.9970862972911181
polynomial_mixed,3_6C-80PER_3_6C,193,0.9970130971726916
polynomial_mixed,3_6C-80PER_3_6C,194,0.9969392907806878
polynomial_mixed,3_6C-80PER_3_6C,195,0.9968648781151069
polynomial_mixed,3_6C-80PER_3_6C,196,0.9967898591759491
polynomial_mixed,3_6C-80PER_3_6C,197,0.9967142339632139
polynomial_mixed,3_6C-80PER_3_6C,198,0.9966380024769017
polynomial_mixed,3_6C-80PER_3_6C,199,0.9965611647170125
polynomial_mixed,3_6C-80PER_3_6C,200,0.996483720683546
polynomial_mixed,80PER_3_6C,1,0.9992039828112257
polynomial_mixed,80PER_3_6C,2,0.9991543555544353
polynomial_mixed,80PER_3_6C,3,0.9991042802712183
polynomial_mixed,80PER_3_6C,4,0.9990537569615747
polynomial_mixed,80PER_3_6C,5,0.9990027856255044
polynomial_mixed,80PER_3_6C,6,0.9989513662630075
polynomial_mixed,80PER_3_6C,7,0.9988994988740839
polynomial_mixed,80PER_3_6C,8,0.9988471834587336
polynomial_mixed,80PER_3_6C,9,0.9987944200169567
polynomial_mixed,80PER_3_6C,10,0.9987412085487531
polynomial_mixed,80PER_3_6C,11,0.9986875490541229
polynomial_mixed,80PER_3_6C,12,0.9986334415330661
polynomial_mixed,80PER_3_6C,13,0.9985788859855825
polynomial_mixed,80PER_3_6C,14,0.9985238824116724
polynomial_mixed,80PER_3_6C,15,0.9984684308113356
polynomial_mixed,80PER_3_6C,16,0.9984125311845721
polynomial_mixed,80PER_3_6C,17,0.998356183531382
polynomial_mixed,80PER_3_6C,18,0.9982993878517653
polynomial_mixed,80PER_3_6C,19,0.9982421441457219
polynomial_mixed,80PER_3_6C,20,0.9981844524132518
polynomial_mixed,80PER_3_6C,21,0.9981263126543551
polynomial_mixed,80PER_3_6C,22,0.9980677248690316
polynomial_mixed,80PER_3_6C,23,0.9980086890572817
polynomial_mixed,80PER_3_6C,24,0.997949205219105
polynomial_mixed,80PER_3_6C,25,0.9978892733545016
polynomial_mixed,80PER_3_6C,26,0.9978288934634717
polynomial_mixed,80PER_3_6C,27,0.997768065546015
polynomial_mixed,80PER_3_6C,28,0.9977067896021317
polynomial_mixed,80PER_3_6C,29,0.9976450656318218
polynomial_mixed,80PER_3_6C,30,0.9975828936350851
polynomial_mixed,80PER_3_6C,31,0.997520273611922
polynomial_mixed,80PER_3_6C,32,0.9974572055623321
polynomial_mixed,80PER_3_6C,33,0.9973936894863155
polynomial_mixed,80PER_3_6C,34,0.9973297253838723
polynomial_mixed,80PER_3_6C,35,0.9972653132550025
polynomial_mixed,80PER_3_6C,36,0.9972004530997058
polynomial_mixed,80PER_3_6C,37,0.9971351449179827
polynomial_mixed,80PER_3_6C,38,0.997069388709833
polynomial_mixed,80PER_3_6C,39,0.9970031844752565
polynomial_mixed,80PER_3_6C,40,0.9969365322142534
polynomial_mixed,80PER_3_6C,41,0.9968694319268236
polynomial_mixed,80PER_3_6C,42,0.9968018836129672
polynomial_mixed,80PER_3_6C,43,0.9967338872726841
polynomial_mixed,80PER_3_6C,44,0.9966654429059745
polynomial_mixed,80PER_3_6C,45,0.996596550512838
polynomial_mixed,80PER_3_6C,46,0.996527210093275
polynomial_mixed,80PER_3_6C,47,0.9964574216472853
polynomial_mixed,80PER_3_6C,48,0.9963871851748689
polynomial_mixed,80PER_3_6C,49,0.996316500676026
polynomial_mixed,80PER_3_6C,50,0.9962453681507563
polynomial_mixed,80PER_3_6C,51,0.9961737875990601
polynomial_mixed,80PER_3_6C,52,0.9961017590209371
polynomial_mixed,80PER_3_6C,53,0.9960292824163874
polynomial_mixed,80PER_3_6C,54,0.9959563577854113
polynomial_mixed,80PER_3_6C,55,0.9958829851280084
polynomial_mixed,80PER_3_6C,56,0.9958091644441788
polynomial_mixed,80PER_3_6C,57,0.9957348957339226
polynomial_mixed,80PER_3_6C,58,0.9956601789972398
polynomial_mixed,80PER_3_6C,59,0.9955850142341302
polynomial_mixed,80PER_3_6C,60,0.9955094014445941
polynomial_mixed,80PER_3_6C,61,0.9954333406286313
polynomial_mixed,80PER_3_6C,62,0.9953568317862418
polynomial_mixed,80PER_3_6C,63,0.9952798749174256
polynomial_mixed,80PER_3_6C,64,0.995202470022183
polynomial_mixed,80PER_3_6C,65,0.9951246171005135
polynomial_mixed,80PER_3_6C,66,0.9950463161524175
polynomial_mixed,80PER_3_6C,67,0.9949675671778947
polynomial_mixed,80PER_3_6C,68,0.9948883701769453
polynomial_mixed,80PER_3_6C,69,0.9948087251495693
polynomial_mixed,80PER_3_6C,70,0.9947286320957666
polynomial_mixed,80PER_3_6C,71,0.9946480910155372
polynomial_mixed,80PER_3_6C,72,0.9945671019088813
polynomial_mixed,80PER_3_6C,73,0.9944856647757986
polynomial_mixed,80PER_3_6C,74,0.9944037796162893
polynomial_mixed,80PER_3_6C,75,0.9943214464303535
polynomial_mixed,80PER_3_6C,76,0.9942386652179908
polynomial_mixed,80PER_3_6C,77,0.9941554359792015
polynomial_mixed,80PER_3_6C,78,0.9940717587139857
polynomial_mixed,80PER_3_6C,79,0.9939876334223431
polynomial_mixed,80PER_3_6C,80,0.9939030601042739
polynomial_mixed,80PER_3_6C,81,0.993818038759778
polynomial_mixed,80PER_3_6C,82,0.9937325693888555
polynomial_mixed,80PER_3_6C,83,0.9936466519915064
polynomial_mixed,80PER_3_6C,84,0.9935602865677305
polynomial_mixed,80PER_3_6C,85,0.9934734731175281
polynomial_mixed,80PER_3_6C,86,0.993386211640899
polynomial_mixed,80PER_3_6C,87,0.9932985021378432
polynomial_mixed,80PER_3_6C,88,0.9932103446083608
polynomial_mixed,80PER_3_6C,89,0.9931217390524517
polynomial_mixed,80PER_3_6C,90,0.9930326854701159
