Policy,Metric,Estimate,BootstrapSE,CI95Low,CI95High,FiniteBootstrapFraction
3_6C-80PER_3_6C,SOH200,0.9966823144149064,0.0011582364928304477,0.9950293589821206,0.9983352698476924,1.0
3_6C-80PER_3_6C,Loss1to200,0.00041432455590650896,0.0012459257112053298,-0.0013637748960902973,0.0021924240079032042,1.0
3_6C-80PER_3_6C,MeanSOH1to200,1.000224679457424,0.002384816488404703,0.9968212334469528,1.0036281254678951,1.0
3_6C-80PER_3_6C,Slope151to200,-5.091771397472177e-05,2.185936353728105e-05,-8.21138936322029e-05,-1.9721534317239735e-05,1.0
3_6C-80PER_3_6C,ProjectedL80LocalLinear,4062.7483259077535,2882.098095258656,2615.3679855452683,10089.157498848055,1.0
3_6C-80PER_3_6C,MeanChargeTime,13.38800241952045,0.014468842107308078,13.3673534835601,13.4086513554808,1.0
80PER_3_6C,SOH200,0.9804815544138565,0.009134413379749014,0.967428830645115,0.9935342781825983,1.0
80PER_3_6C,Loss1to200,0.01739298594934713,0.010278400132678672,0.002705549313964606,0.03208042258472932,1.0
80PER_3_6C,MeanSOH1to200,0.9913346643123551,0.0042198318472479,0.9853046876556406,0.9973646409690693,1.0
80PER_3_6C,Slope151to200,-0.0001237021800956896,5.087014329246229e-05,-0.00019639364925395762,-5.101071093743893e-05,1.0
80PER_3_6C,ProjectedL80LocalLinear,1659.0005954159037,1114.2381646757492,1052.5165211865474,3993.9929600266605,1.0
80PER_3_6C,MeanChargeTime,14.279889966140349,0.38379719433802173,13.7314586052367,14.828321327044,1.0
4_8C_80PER_4_8C,SOH200,0.9854650643318774,0.0029353464306320115,0.9813189732791846,0.98961115538457,1.0
4_8C_80PER_4_8C,Loss1to200,0.010060230177521778,0.0032603777978000583,0.005455041817200801,0.014665418537843089,1.0
4_8C_80PER_4_8C,MeanSOH1to200,0.9951804626023789,0.0009277757778362908,0.993870006428876,0.9964909187758823,1.0
4_8C_80PER_4_8C,Slope151to200,-0.0001331741745788068,2.2131955680840317e-05,-0.00016443491520872554,-0.00010191343394890281,1.0
4_8C_80PER_4_8C,ProjectedL80LocalLinear,1592.6503762343732,272.17540204239964,1302.6792761684903,2060.511887761891,1.0
4_8C_80PER_4_8C,MeanChargeTime,13.08203536558995,0.11248909335985029,12.9231478085242,13.2409229226557,1.0
5_6C_19PER_4_6C_NEWSTRUCTURE,SOH200,0.9939260512539082,0.0002675363333942222,0.9934633734333251,0.9944998717655641,1.0
5_6C_19PER_4_6C_NEWSTRUCTURE,Loss1to200,0.003646023998548631,0.0003886837309610565,0.0028488329976413124,0.0043966000338971495,1.0
5_6C_19PER_4_6C_NEWSTRUCTURE,MeanSOH1to200,0.9975847533536618,0.0001269071586954759,0.9973638078294781,0.997846138246294,1.0
5_6C_19PER_4_6C_NEWSTRUCTURE,Slope151to200,-4.3976698159476155e-05,1.9528339427534073e-06,-4.754736456220405e-05,-4.018240976657774e-05,1.0
5_6C_19PER_4_6C_NEWSTRUCTURE,ProjectedL80LocalLinear,4609.745600969379,203.84567373236158,4271.429577927664,5036.333045236019,1.0
5_6C_19PER_4_6C_NEWSTRUCTURE,MeanChargeTime,10.249731197117585,0.01331012955066054,10.223493822609623,10.276083649169085,1.0
5_6C_36PER_4_3C_NEWSTRUCTURE,SOH200,0.9946990005820673,0.0005283402284666064,0.9937316954211741,0.9957658673629638,1.0
5_6C_36PER_4_3C_NEWSTRUCTURE,Loss1to200,0.0029123067994344387,0.0006861605887266742,0.0014834352955217732,0.004164084732389117,1.0
5_6C_36PER_4_3C_NEWSTRUCTURE,MeanSOH1to200,0.9978869914168804,0.0002376441197826693,0.997435082516502,0.9983651335425046,1.0
5_6C_36PER_4_3C_NEWSTRUCTURE,Slope151to200,-3.897739963351241e-05,3.4175955445083117e-06,-4.570029880078011e-05,-3.2358094713092645e-05,1.0
5_6C_36PER_4_3C_NEWSTRUCTURE,ProjectedL80LocalLinear,5195.176754035352,466.04156652889054,4439.194640535411,6253.737240329437,1.0
5_6C_36PER_4_3C_NEWSTRUCTURE,MeanChargeTime,10.214658808573457,0.009216223838487045,10.197754099613364,10.232964036764967,1.0
4_8C_80PER_4_8C_NEWSTRUCTURE,SOH200,0.9872857202629289,0.008382208244973944,0.968504726584085,0.9969122163736269,1.0
4_8C_80PER_4_8C_NEWSTRUCTURE,Loss1to200,0.001277073331529932,0.00039331635539471897,0.0005587858034326043,0.00214947787602926,1.0
4_8C_80PER_4_8C_NEWSTRUCTURE,MeanSOH1to200,0.9895118763658471,0.008214525776583607,0.9711457720356801,0.9987833268617288,1.0
4_8C_80PER_4_8C_NEWSTRUCTURE,Slope151to200,-2.8406319288930397e-05,2.8366539500345466e-06,-3.401047272255327e-05,-2.3212463042683248e-05,1.0
4_8C_80PER_4_8C_NEWSTRUCTURE,ProjectedL80LocalLinear,6793.100582936554,903.7977688319141,5148.841685384909,8678.536381953576,1.0
4_8C_80PER_4_8C_NEWSTRUCTURE,MeanChargeTime,11.160462287633361,0.015268466100200826,11.12575897627456,11.187946718971139,1.0
5C_67PER_4C_NEWSTRUCTURE,SOH200,0.9954909264182059,0.0002483042619191071,0.9950382984995805,0.9959921848948843,1.0
5C_67PER_4C_NEWSTRUCTURE,Loss1to200,0.001902190098023282,0.00030432953166588335,0.0013093373642221184,0.00248159356000488,1.0
5C_67PER_4C_NEWSTRUCTURE,MeanSOH1to200,0.9982857600673498,0.00012221393872432947,0.99806812632452,0.99853951825485,1.0
