Model,BatteryId,Policy,NObs,RMSE,MAE,Bias,MaxAbsError,InnerSelectedLambdaRandom,InnerSelectedLambdaCurve,InnerCVMeanBatteryRMSE,InnerValidationNBattery
polynomial_mixed,1,3_6C-80PER_3_6C,200,0.006991472517868035,0.006822493240469869,-0.0067982776137041,0.008402833649218566,1000.0,0.0,0.004715131855787209,38
polynomial_mixed,3,3_6C-80PER_3_6C,200,0.00690409325650195,0.006798277611140737,0.006798277611140737,0.010729205719226864,1000.0,0.0,0.004202344004152283,38
polynomial_mixed,4,80PER_3_6C,200,0.014431261374696032,0.01213229685541449,0.012056743600091782,0.026199270429203225,1000.0,0.0,0.0038182087262411037,38
polynomial_mixed,6,80PER_3_6C,200,0.014392438712157484,0.012246465745688925,-0.01205674360264998,0.026010067951856786,1000.0,0.0,0.003779673489421538,38
polynomial_mixed,7,4_8C_80PER_4_8C,200,0.003859832349816569,0.002938188451903877,-0.00262624275527653,0.008770366211202751,1000.0,0.0,0.004384486373609338,38
polynomial_mixed,8,4_8C_80PER_4_8C,200,0.003860084175468513,0.003040223562278374,0.0026262427527176395,0.007916310394835757,1000.0,0.0,0.004311478989175219,38
polynomial_mixed,12,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.00041606055482471725,0.00032373112859141075,-3.258414034503221e-06,0.002473596679965828,1000.0,0.0,0.004415234920294547,39
polynomial_mixed,13,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.00045060341682797816,0.0003294973442369714,-0.00017542092838874256,0.002438296561514952,1000.0,0.0,0.0044468997379641245,39
polynomial_mixed,15,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0006167393543142882,0.0005036196909179664,0.0003326055679045398,0.0031676702351960406,1000.0,0.0,0.004434626305587009,39
polynomial_mixed,17,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.01156360586718394,0.011543748795749922,-0.011543748795749922,0.012994014115028651,1000.0,0.0,0.004101706704509286,39
polynomial_mixed,18,5C_67PER_4C_NEWSTRUCTURE,200,0.0006011396979007712,0.00045884097268514225,0.00026021576839674597,0.00393653013845352,1000.0,0.0,0.004450237501913017,39
polynomial_mixed,19,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0012223368984445083,0.0010682159366436923,-0.0009605180508121974,0.0036199606974101073,1000.0,0.0,0.004404835417889497,39
polynomial_mixed,20,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.011087379102357303,0.011074347480229974,-0.011074347480229974,0.01191958407389826,1000.0,0.0,0.0041565124881123554,39
polynomial_mixed,21,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0005936254801153021,0.0005068612218379348,0.0002741782398116538,0.0026457399662512815,1000.0,0.0,0.004484331301385827,39
polynomial_mixed,22,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.001154635105651703,0.0009593039096337569,-0.0008700763448583798,0.0028824481767359966,1000.0,0.0,0.0048509240028651954,39
polynomial_mixed,23,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0006887991005094515,0.0005170937738104542,0.0002527681719559638,0.004585908911464709,1000.0,0.0,0.0043934798250517305,39
polynomial_mixed,26,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0015248131619258283,0.0012725904576500148,0.0012125002713536059,0.009575780423197178,1000.0,0.0,0.004411881625475991,39
