Model,MeanBatteryRMSE,SEBatteryRMSE,MeanBatteryMAE,MedianBatteryRMSE,WorstPolicyRMSE,MaxBatteryError,LambdaRandom,LambdaCurve,Selected
polynomial_mixed,0.004393552261116933,0.0012617856047891665,0.004071230398618288,0.0010800263131157855,0.018335036946346937,0.05271129972018607,1000.0,0.0,False
spline_mixed,0.004341905727605589,0.0012654481350674383,0.004035515229619721,0.0010242700793128283,0.018332365140676734,0.052650305988805934,3.0,0.001,False
functional_ridge,0.004324874166241352,0.0012666645262979922,0.0040262736754817854,0.0010132926804536607,0.018331706083196987,0.05289531434887984,0.0,0.0,True
