Policy,Metric,Estimate,BootstrapSE,CI95Low,CI95High,FiniteBootstrapFraction
3_6C-80PER_3_6C,SOH200,0.9967881311091192,0.0012146231093394435,0.9950547045768025,0.9985215576414361,1.0
3_6C-80PER_3_6C,Loss1to200,0.0013697473209386413,0.0011851864124077809,-0.00032166918284115553,0.003061163824718438,1.0
3_6C-80PER_3_6C,MeanSOH1to200,1.0002217471555306,0.0023846857498764605,0.9968184877260918,1.0036250065849694,1.0
3_6C-80PER_3_6C,Slope151to200,-5.3238763039686585e-05,2.155417333927449e-05,-8.399939624448283e-05,-2.247812983489862e-05,1.0
3_6C-80PER_3_6C,ProjectedL80LocalLinear,3896.331767934285,2412.3889659925776,2563.3688635526973,8877.53260655913,1.0
3_6C-80PER_3_6C,MeanChargeTime,13.38800241952045,0.014468842107308078,13.3673534835601,13.4086513554808,1.0
80PER_3_6C,SOH200,0.9805732175795239,0.009078783711585808,0.9675999864570742,0.9935464487019736,1.0
80PER_3_6C,Loss1to200,0.01796291503463132,0.009982090477469415,0.003698893447229068,0.03222693662203335,1.0
80PER_3_6C,MeanSOH1to200,0.9913327717108055,0.004219366896697809,0.9853034594504617,0.9973620839711493,1.0
80PER_3_6C,Slope151to200,-0.0001254039980253233,5.0132883877436154e-05,-0.00019704195196699,-5.376604408366261e-05,1.0
80PER_3_6C,ProjectedL80LocalLinear,1639.931903471371,1037.147007252476,1050.5802179890698,3799.789644200079,1.0
80PER_3_6C,MeanChargeTime,14.279889966140349,0.38379719433802173,13.7314586052367,14.828321327044,1.0
4_8C_80PER_4_8C,SOH200,0.9854371901966075,0.0028715309329049744,0.9813812366695535,0.9894931437236617,1.0
4_8C_80PER_4_8C,Loss1to200,0.011091401888818186,0.0032393477114501584,0.006515917910897118,0.015666885866738922,1.0
4_8C_80PER_4_8C,MeanSOH1to200,0.9951780117897138,0.0009280436193164403,0.9938671772979469,0.9964888462814802,1.0
4_8C_80PER_4_8C,Slope151to200,-0.00013608542817066451,2.2052537056196476e-05,-0.00016723399231414478,-0.00010493686402718876,1.0
4_8C_80PER_4_8C,ProjectedL80LocalLinear,1562.6528033850248,258.8380240115524,1284.5955069280017,2005.7824147914757,1.0
4_8C_80PER_4_8C,MeanChargeTime,13.08203536558995,0.11248909335985029,12.9231478085242,13.2409229226557,1.0
5_6C_19PER_4_6C_NEWSTRUCTURE,SOH200,0.9939276635129123,0.00027305312898452785,0.9934431279738813,0.9945222104661939,1.0
5_6C_19PER_4_6C_NEWSTRUCTURE,Loss1to200,0.0043400341895848404,0.00036543045255803936,0.0035892131396374704,0.005024461171595498,1.0
5_6C_19PER_4_6C_NEWSTRUCTURE,MeanSOH1to200,0.997583001507659,0.00012682325722736097,0.9973623132725027,0.9978444156453437,1.0
5_6C_19PER_4_6C_NEWSTRUCTURE,Slope151to200,-4.576130311752329e-05,2.0057309907661245e-06,-4.949455713270208e-05,-4.180662656735711e-05,1.0
5_6C_19PER_4_6C_NEWSTRUCTURE,ProjectedL80LocalLinear,4437.809028621213,192.92551033420372,4112.061512380253,4846.221518682456,1.0
5_6C_19PER_4_6C_NEWSTRUCTURE,MeanChargeTime,10.249731197117585,0.01331012955066054,10.223493822609623,10.276083649169085,1.0
5_6C_36PER_4_3C_NEWSTRUCTURE,SOH200,0.9946921800619593,0.0005293294964739951,0.9937307601107038,0.9957514585018031,1.0
5_6C_36PER_4_3C_NEWSTRUCTURE,Loss1to200,0.003565630907563566,0.0006688586475460627,0.00218319793233637,0.004778338978090792,1.0
5_6C_36PER_4_3C_NEWSTRUCTURE,MeanSOH1to200,0.9978853841729909,0.0002376026050451347,0.9974334211957468,0.9983633962086733,1.0
5_6C_36PER_4_3C_NEWSTRUCTURE,Slope151to200,-4.066199854637616e-05,3.3898253459177183e-06,-4.7300751672327874e-05,-3.402236830962809e-05,1.0
5_6C_36PER_4_3C_NEWSTRUCTURE,ProjectedL80LocalLinear,4988.062245388831,423.88122877585675,4300.89229364372,5951.980156064986,1.0
5_6C_36PER_4_3C_NEWSTRUCTURE,MeanChargeTime,10.214658808573457,0.009216223838487045,10.197754099613364,10.232964036764967,1.0
4_8C_80PER_4_8C_NEWSTRUCTURE,SOH200,0.9872681967081273,0.008417944920001684,0.9683864132118921,0.99694634535136,1.0
4_8C_80PER_4_8C_NEWSTRUCTURE,Loss1to200,0.0017641999129988095,0.0003440842076822078,0.001154282517380717,0.0024509178140361687,1.0
4_8C_80PER_4_8C_NEWSTRUCTURE,MeanSOH1to200,0.989510740487777,0.008214225422623126,0.9711452522646972,0.998781693309168,1.0
4_8C_80PER_4_8C_NEWSTRUCTURE,Slope151to200,-2.9493207542970677e-05,2.6424286445597643e-06,-3.435025883488884e-05,-2.4516487250774075e-05,1.0
4_8C_80PER_4_8C_NEWSTRUCTURE,ProjectedL80LocalLinear,6549.53646310878,798.6605801840352,5118.657700146641,8196.273641788159,1.0
4_8C_80PER_4_8C_NEWSTRUCTURE,MeanChargeTime,11.160462287633361,0.015268466100200826,11.12575897627456,11.187946718971139,1.0
5C_67PER_4C_NEWSTRUCTURE,SOH200,0.9955033555395807,0.00025880104959437946,0.9950366940336358,0.9960282217990626,1.0
5C_67PER_4C_NEWSTRUCTURE,Loss1to200,0.002517518113019368,0.00030300129030670707,0.0019363762874613777,0.003098205493568984,1.0
5C_67PER_4C_NEWSTRUCTURE,MeanSOH1to200,0.9982841515591643,0.00012216753943005714,0.998066602444955,0.9985379789231679,1.0
5C_67PER_4C_NEWSTRUCTURE,Slope151to200,-3.601212504925095e-05,2.1589005877527284e-06,-3.993809833400706e-05,-3.157597606589595e-05,1.0
5C_67PER_4C_NEWSTRUCTURE,ProjectedL80LocalLinear,5628.8203007238835,340.9303520542287,5086.694542201482,6402.824127763415,1.0
5C_67PER_4C_NEWSTRUCTURE,MeanChargeTime,10.158737727484366,0.01150982345318985,10.135663590652035,10.17973941363419,1.0
5_3C_54PER_4C_NEWSTRUCTURE,SOH200,0.9954464838806192,0.00044232509381644266,0.9945989024374224,0.9963290674138057,1.0
5_3C_54PER_4C_NEWSTRUCTURE,Loss1to200,0.0023321273548573274,0.0005618997084545622,0.0012424120331121446,0.0034559336804517197,1.0
5_3C_54PER_4C_NEWSTRUCTURE,MeanSOH1to200,0.9980716165802328,0.00024988829382188764,0.9975789388277128,0.998560320059666,1.0
5_3C_54PER_4C_NEWSTRUCTURE,Slope151to200,-3.287009529676202e-05,2.171582410160085e-06,-3.7093357005608776e-05,-2.8623209827801103e-05,1.0
5_3C_54PER_4C_NEWSTRUCTURE,ProjectedL80LocalLinear,6146.027296728655,412.1863210130558,5453.738424321897,7052.7457758023875,1.0
5_3C_54PER_4C_NEWSTRUCTURE,MeanChargeTime,10.157513242825358,0.009650109952638836,10.138673752761743,10.176722216699886,1.0
3_7C_31PER_5_9C_NEWSTRUCTURE,SOH200,0.9658735778320292,0.0038137182864972337,0.9603410645738497,0.9714060910902088,1.0
3_7C_31PER_5_9C_NEWSTRUCTURE,Loss1to200,0.03439725766320334,0.0038393225499002755,0.0288276006214242,0.03996691470498237,1.0
3_7C_31PER_5_9C_NEWSTRUCTURE,MeanSOH1to200,0.9839412462740992,0.001581050439063259,0.9816476362434533,0.9862348563047453,1.0
3_7C_31PER_5_9C_NEWSTRUCTURE,Slope151to200,-0.00018093708241215584,2.2669485925479402e-05,-0.00021382342115481637,-0.0001480507436694939,1.0
3_7C_31PER_5_9C_NEWSTRUCTURE,ProjectedL80LocalLinear,1116.7472782289394,141.57013001339453,949.8760599184154,1357.7523141177392,1.0
3_7C_31PER_5_9C_NEWSTRUCTURE,MeanChargeTime,10.851867338010951,0.03342893938638929,10.8033723951577,10.9003622808642,1.0
