Policy,NBattery,MeanRMSE,MedianRMSE,MaxRMSE
4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.018332165890420832,0.011560138739639592,0.04582134150676006
80PER_3_6C,2,0.014414088273163502,0.014414088273163502,0.014435184920421265
3_6C-80PER_3_6C,2,0.006931743133188628,0.006931743133188628,0.006978910206606187
3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.005813637780281189,0.005813637780281189,0.0058136495264037025
4_8C_80PER_4_8C,2,0.0038342461411407496,0.0038342461411407496,0.0038359535996740956
5_3C_54PER_4C_NEWSTRUCTURE,7,0.0009539410657427274,0.0010027271994513152,0.0015588270832477633
5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0008712915977909044,0.001019976966439319,0.0014065980719390378
5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0005575018775205027,0.0005037540611493955,0.0010237271160673596
5C_67PER_4C_NEWSTRUCTURE,6,0.0005310734297934982,0.00048086871554486096,0.0008098123417580575
